Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
14303,90780,90739,90704,90665,90623,90572,90530,90056,90495,15285,15373,15873,15794,15734,16106,15996,15588,15510,15445,11237,88068,88027,87985,87935,87884,87837,87783,87737,87683,15146,15219,15639,15577,15529,15478,15423,15756,15705,15284,10447,10535,186698,186620,186564,186495,186451,186751,187539,186804,11240,11316,11428,11375,11492,11544,12647,12575,12496,11600,8010,730762,735660,727318,657108,722135,650739,648688,533599,287605,11608,11705,12127,12054,11982,11905,11847,11782,12286,12201,14717,14797,14856,14909,15000,19271,19327,15107,15053,15214,1195,1701,1250,1333,1844,1802,1544,1489,1436,1751
6372,54165,54119,54072,54020,53974,53925,53872,53812,53694,5276,5390,5693,5590,5492,6184,6085,5988,5890,5790,7845,51842,51787,51730,51672,51341,51582,51534,51486,51432,6249,6357,6464,6559,6651,6750,6952,7253,7155,7055,11419,11487,87755,87700,87651,87595,87548,87805,87935,87873,7187,7822,7938,7889,7986,8038,8281,8221,8153,8092,13794,630802,635615,627384,557311,622231,551252,548950,434937,188035,8316,8409,8477,8604,8723,8960,8904,8669,8840,8781,5725,5838,5941,6043,6143,6702,6601,6495,6393,6292,7926,8120,8061,8176,8502,8446,8388,8334,8282,8230
17934,19472,19427,19377,19329,19286,19243,19198,19149,19082,19082,19192,19749,19695,19638,19587,19523,19460,19389,19314,15701,16255,16182,16121,16049,17204,17088,15903,15843,15783,19114,19214,19710,19649,19589,19528,19472,19415,19342,19280,7757,8301,51189,51124,51074,51022,50923,8383,8487,8436,15003,15090,15207,15148,15267,15328,15538,15484,15433,15378,10952,530840,535573,527457,517881,522355,517716,449295,335348,88460,14993,15064,15410,15184,15130,15356,15306,15253,15516,15464,17378,17468,17519,17580,17674,17630,17806,17759,17717,17852,3493,3612,3719,3836,3949,4246,4194,4137,4085,4019
5160,5735,5621,5570,5516,5460,5402,5342,5284,5681,6415,6506,6982,6932,6881,6828,6760,6698,6638,6572,2657,3197,3120,3053,2987,3406,3334,3265,2805,2740,6425,6506,6903,6852,6804,6751,6697,7074,7022,6963,15468,15551,15799,15752,15704,15653,15603,15843,15939,15895,1893,1968,2084,2028,2137,2664,2780,2384,2328,2269,18792,431004,435570,427690,418960,461625,418836,349629,235685,105184,2280,2363,2684,2642,2593,3107,2488,2430,2790,2734,4604,4684,4746,4807,4909,5284,5519,5023,4966,5132,8641,8777,8715,8831,9169,9107,9050,8994,8930,9681
33559,34131,34076,34017,33947,33891,33831,33773,33716,33657,34811,34923,35410,35359,35307,35472,35240,35188,35135,35077,31018,31561,31507,31457,31405,31348,31279,31223,31169,31108,34830,34927,35436,35383,35333,35282,35108,35491,35222,35171,2292,2372,2753,2581,2524,2472,2812,3074,3386,3143,30808,30901,31019,30961,31072,31122,31333,31278,31222,31173,5840,331014,373737,327772,319238,361644,319133,249927,135997,132950,30724,30821,31134,31082,31035,30984,30932,30878,31232,31183,33000,33087,33286,33345,33462,33412,33706,33648,33514,33570,537,662,603,717,1183,1129,1075,873,816,1017
623,1097,1034,982,930,875,817,758,1347,1235,625,684,1128,1063,1004,1285,1242,1190,945,881,559,1184,959,910,855,1129,1080,1025,687,630,824,882,1251,1210,1164,1106,1048,1338,1297,928,30690,30780,31055,31003,30954,30894,30836,31106,31214,31157,1069,1126,1170,1264,1211,1306,1474,1428,1386,1347,34308,231048,273741,227836,219446,261623,219346,150213,81561,81412,898,970,1116,1067,1022,1273,1217,1170,1374,1330,1095,1151,1199,1366,1417,1560,1650,1608,1461,1509,23860,23974,23927,24017,24285,24372,24333,24134,24092,24244
17846,18372,18318,18262,18209,18158,18108,18054,18000,17940,19081,19162,19514,19466,19417,19582,19370,19326,19275,19224,15375,15631,15572,15516,15457,15978,15890,15817,15750,15695,19061,19156,19658,19539,19480,19425,19369,19602,19275,19219,483,533,883,826,670,627,581,935,1358,1254,14992,15093,15216,15156,15271,15324,15501,15459,15416,15371,1635,131071,173709,169115,119647,161588,119550,117248,1864,1778,15086,15182,15524,15473,15419,15365,15307,15241,15629,15576,17249,17340,17412,17480,17612,17547,17793,17731,17676,17865,25962,26115,26055,26165,26490,26391,26346,26298,26250,26445
610,1265,1071,1010,947,884,824,758,1204,1142,799,847,1008,955,903,1260,1212,1163,1114,1064,360,897,627,574,535,851,801,746,688,406,704,743,870,840,995,965,936,905,807,774,15314,15400,15876,15815,15605,15549,15477,16272,16433,16357,677,749,1075,815,1133,1186,1418,1352,1297,1242,18256,31104,73671,69122,61065,61549,61162,18800,18373,18318,489,655,828,775,710,1047,995,941,1099,884,305,460,494,525,595,558,697,660,629,732,8100,8246,8180,8301,8575,9097,9040,8984,8397,8908
651,1291,1149,1087,1021,954,886,826,765,1220,702,771,1277,1013,952,1211,1148,1084,895,838,583,1103,1054,939,884,1000,795,744,693,641,806,863,1352,1303,1254,1202,1038,1153,1101,915,540,599,855,808,756,707,652,901,991,1190,780,852,1124,923,1183,1238,1475,1401,1348,1293,390,827,41093,773,727,41042,684,653,620,549,568,638,957,900,831,1269,1208,1146,1075,1017,604,674,743,798,895,1087,1307,1156,954,1225,516,609,574,660,1079,1143,1025,974,751,919
2506,3124,4294,4084,3904,3728,3548,3353,2916,2721,1689,1816,2984,2827,2314,2617,2445,2168,2062,1960,3824,4825,4407,4236,4051,5475,5227,5000,4683,4576,2131,2282,3004,3669,3516,3362,3203,2821,2651,2451,582,650,980,915,849,786,724,1143,1377,1303,4348,4753,5238,5017,5457,6177,6512,6339,5951,5677,573,1152,990,939,888,836,783,726,1099,1049,3641,3848,4158,4028,5002,4826,4642,4434,5378,5211,2202,2400,2603,3103,3299,4133,4301,3706,3507,3905,462,756,705,799,1029,983,946,910,873,837
