Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
1901,2008,2101,2182,2268,2350,2433,2514,2595,2679,1101,1287,1201,1369,1542,1461,1620,1698,1792,1874
1133,1196,1250,1300,1351,1399,1447,1495,1596,1657,674,1089,758,1174,1326,1245,1379,1433,1482,1545
1065,1153,1234,1309,1380,1450,1520,1595,1683,1758,899,1069,989,1180,1335,1256,1406,1476,1551,1622
806,1352,1435,1509,1588,1664,1734,1805,1875,1962,1033,1190,1116,1261,1401,1333,1472,1543,1628,1699
1941,2026,2102,2179,2262,2339,2410,2847,2932,3004,865,1047,969,1136,1724,1216,1807,1962,2029,1879
841,900,950,1009,1205,1288,1368,1454,1529,1626,920,1116,1018,1205,1367,1288,1448,1551,1641,1727
1473,6586,6658,6724,6805,6884,6963,7042,7135,7215,1997,2201,2109,2293,2472,2382,2560,2652,6407,6524
1136,1223,1311,1386,1457,1527,1794,1878,1983,2064,899,1198,1119,1273,1424,1350,1494,1572,1751,1654
1088,1197,1679,1786,1877,1974,2064,2172,2261,2347,2071,2284,2186,2379,2552,2463,2636,2718,2799,2882
1167,1282,1383,1476,1571,1664,1916,2009,2101,2211,693,1394,1298,1494,1687,1592,1774,1865,1974,2067
1200,1303,1388,1483,1560,1630,1700,1771,1927,2025,1074,1221,1150,1297,1447,1373,1515,1583,1635,1696
975,1058,1108,1157,1220,1298,1371,1449,1546,1626,1077,1233,1160,1309,1457,1384,1535,1609,1682,1772
1703,1790,1874,1953,2032,2108,2186,2262,2341,2419,886,1047,973,1124,1272,1199,1348,1786,1883,1547
1115,1215,1301,1378,1458,1783,1862,1936,2012,2112,1014,1212,1116,1296,1446,1372,1657,1741,1935,1836
1309,1408,1503,1592,1682,1765,1846,1926,2101,2203,1042,1159,1104,1224,1377,1302,1451,1532,1627,1709
1257,1355,1450,1541,1625,1712,1799,2052,2140,2243,945,1051,1002,1099,1203,1146,1257,1309,1357,1434
1260,1361,1465,1550,1646,1745,1843,2064,2163,2263,1303,1513,1415,1628,1835,1735,1928,2024,2114,2217
1024,1112,1190,1265,1351,1423,1501,1698,1771,1859,667,1154,1084,1226,1370,1299,1431,1486,1567,1636
731,793,848,902,958,1019,1082,1238,1298,1368,687,815,754,873,951,915,1052,1089,1202,1134
745,790,850,915,980,1048,1103,1256,1309,1373,491,832,779,892,1022,957,1085,1145,1218,1273
465,782,853,929,993,1057,1123,1185,1253,1341,765,885,826,939,1053,994,1106,1401,1454,1254
