Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
780,842,891,941,998,1053,1160,1108,1206,1262,490,662,612,573,534,910,752,803,852,961,696,811,759,964,912,862,1117,1182,1016,1234,513,581,643,695,749,1057,795,915,1013,969,360,398,629,582,532,773,744,713,674,804
523,564,597,788,825,858,923,890,954,995,512,643,612,582,550,674,705,737,777,836,665,792,731,959,904,848,1127,1068,1013,1199,652,716,775,847,904,1281,965,1103,1227,1172,498,543,758,708,655,965,915,865,809,1016
1902,2082,2208,2337,2450,2562,2785,2674,2898,3048,722,962,905,841,784,1301,1080,1150,1220,1369,1995,2360,2193,2929,2742,2560,3526,3951,3326,3731,457,504,541,597,923,1208,976,1142,1088,1033,539,588,893,839,785,730,676,632,947,1013
1124,2295,2507,2662,2777,2898,3221,3058,3407,3847,2457,3412,3180,2955,2706,4883,5129,4099,4360,4598,2236,2565,2410,3119,2941,2720,3678,3489,3289,3857,1966,2134,2335,2549,2816,4193,3087,3644,4061,3862,2003,2161,3251,3069,2843,3882,2500,2321,3459,3650
2229,2393,2591,2781,2989,3184,3539,3375,3741,3919,1878,2332,2227,2118,2007,2458,2566,2671,2780,2885,2321,2571,2451,3156,2980,2778,3672,3496,3355,3839,1662,1865,2047,2192,2310,3700,2498,3505,3346,3148,1780,1911,2619,2457,2347,2237,2132,2025,2750,2923
2284,2491,2670,2826,2984,3160,3841,3344,4020,5379,1889,2925,2741,2545,2087,3568,3675,3091,3252,3430,2730,3063,2905,3643,3428,3222,4242,4076,3910,4430,3002,3224,3429,3611,3876,4943,4061,4526,4350,4744,2428,2654,3998,3695,3456,4559,3071,2851,4324,4808
597,676,1031,1094,1178,1273,1415,1339,1475,1562,2324,3612,3008,2779,2563,4822,5039,3818,4035,4410,772,921,848,1129,1059,988,1342,1271,1201,1427,1938,2400,2648,2854,3058,4321,3266,3730,4122,3943,2387,2594,4001,3784,3321,4880,4688,2777,4345,5121
1929,2067,2186,2302,2506,2639,2867,2753,2992,3171,782,1090,1005,937,858,1490,1568,1304,1390,1644,2733,3246,2993,3964,3724,3488,4603,5189,4185,4897,652,737,815,894,955,1503,1027,1418,1350,1278,594,641,877,837,796,963,725,684,917,1005
2603,2804,2990,3176,3413,3641,4229,4035,4413,4653,1709,2378,2218,2052,1888,2949,3116,3618,3274,3432,2673,3086,2880,3752,3543,3318,4434,4199,3987,5287,1895,2128,2310,2432,2548,3444,2665,3303,3188,3068,1902,2128,3270,3066,2866,3507,2508,2315,3705,3909
1082,1172,1253,1332,1411,1489,1646,1567,1799,1898,2094,2989,2769,2492,2299,3711,3917,4807,4198,4450,1025,1206,1120,1461,1377,1292,1681,1889,1803,1974,1975,2273,2521,2761,3009,4659,3225,4382,4233,4046,2278,3720,5512,5316,5117,4893,4554,4349,5743,6030
688,760,1186,1251,1310,1367,1496,1425,1555,1615,1135,1488,1403,1317,1231,1923,1639,1728,1814,2027,700,834,770,1153,1092,893,1322,1267,1209,1393,612,711,1394,871,1512,2031,1650,1920,1856,1776,896,1005,1574,1478,1382,1787,1214,1109,1674,1894
848,953,1522,1078,1641,1764,2016,1894,2130,2243,746,1583,1508,1409,859,1660,1763,1869,1954,2057,1019,1186,1102,1602,1526,1427,1810,1740,1671,1896,548,619,1003,1067,1128,1471,1186,1361,1303,1244,537,606,1271,875,1214,1158,1099,1038,1327,1398
1147,1305,1987,2134,2278,2426,2783,2590,2962,3125,1012,1675,1574,1227,1124,1985,2091,2187,1775,1873,2052,2354,2207,2822,2675,2511,3245,3109,2976,3411,765,910,1722,1865,1991,2443,2120,2352,2284,2199,826,908,1286,1216,1141,1573,1505,1436,1355,1641
1817,1983,2142,2295,2483,2647,3153,2825,3301,3440,1618,2167,2043,1909,1770,2339,2480,2628,2751,2876,1526,1808,1669,2162,2075,1936,2505,2633,2426,2769,1467,1604,1729,1850,1971,2724,2094,2453,2318,2598,1022,1127,1890,1515,1421,1801,1711,1621,1980,2070
3039,3195,4088,3333,4356,4613,5126,4869,5396,5681,1538,2122,1966,1816,1682,2245,2364,2524,2642,2768,7394,7795,7622,8315,8123,7958,9312,8937,8528,9637,1359,1456,1544,1622,1700,2105,1777,2010,1932,1855,1238,1326,1788,1712,1635,1559,1482,1405,1865,1961
2525,2756,3251,3037,3465,3693,3936,4724,5051,5224,7821,8024,8581,8412,8231,8742,10749,10966,8910,9067,4911,5198,5060,5534,5430,5320,5857,5756,5634,5962,6793,6985,7144,7415,7619,8494,7791,8291,8128,7961,5795,5967,7687,8898,8670,8445,8224,7996,9079,9235
1918,2164,2328,2447,2563,2687,3020,2892,3136,3250,5375,5515,6234,6119,6004,6606,6729,6861,6350,6485,2515,2802,2663,3340,3141,2953,3874,4082,3541,4256,1985,2110,2216,2312,2425,2970,2527,2882,2763,2631,3713,3824,4492,4184,3931,4394,4301,4062,4609,4731
1774,1982,3390,3624,3804,4047,4503,4271,4695,4923,2305,3162,2960,2757,2541,3727,4605,3936,4147,4370,5326,5673,5511,6422,6220,6016,7019,6819,6621,7260,1277,1525,2383,2593,2759,3635,2925,3442,3269,3098,1268,1419,3046,2857,2709,2519,2330,2170,3228,3458
6908,7568,8789,8219,10377,11581,12156,11965,12321,12493,3995,4851,4664,4463,4205,5041,5220,5443,5653,5868,14383,16214,16554,16799,17311,17085,17974,17751,17533,18168,4676,5007,5298,5584,5855,7161,6397,6976,6791,6606,3451,3653,5338,5136,4310,8284,7889,3858,5816,6384
2079,2288,2420,2537,2673,2907,3316,3121,3510,3706,9525,10322,11239,11012,10686,11972,12140,11426,11606,11777,2682,3023,2882,3733,3322,3140,3855,4149,3987,4271,10122,10334,10547,10752,11036,12256,11223,11684,12110,11885,12768,13120,14982,14756,14531,14327,14076,13454,15199,15323
1903,2031,2144,2269,2758,2955,3317,3135,3551,3750,2341,3187,2975,2771,2559,3429,3645,3858,4068,4270,2267,2667,2476,3148,2985,2832,3589,3972,3475,3760,1153,1292,2265,2397,2516,3114,2632,2971,2859,2746,2547,2767,3874,3708,3540,3371,3195,2985,4043,4254
1786,1951,2101,2245,2746,2892,3037,3215,3364,3510,1986,3106,2917,2714,2162,3714,3916,4111,3306,3499,3485,3873,3658,4588,4336,4073,5152,4991,4803,7758,1506,1635,1788,1971,2156,2899,2341,2794,3021,2680,2003,2129,3019,2862,2681,3364,3259,2307,3133,3469
1427,1568,1703,2199,2359,2457,2713,2591,2860,3107,1599,3032,2886,2734,2579,3222,3366,3505,3647,3788,1490,1820,1621,2180,2061,1946,2533,2430,2324,2640,1798,2001,2168,2334,2486,4284,2644,3212,4085,3870,4929,5183,5733,5541,5369,6281,6096,5921,6455,6642
