Client_0,Client_0
956,984
1297,1396
905,907
912,937
1245,840
1300,1005
958,824
810,872
762,872
750,768
886,750
835,728
541,616
452,509
442,386
293,270
425,368
324,379
343,321
511,484
401,412
342,379
384,326
311,359
435,385
356,368
509,547
438,437
332,387
378,390
429,475
377,418
344,416
331,460
303,305
458,462
318,396
382,421
540,370
329,365
421,340
532,537
367,320
267,357
344,372
420,563
481,463
358,483
336,406
447,393
365,381
365,337
1162,1089
1027,913
972,920
1184,1272
987,866
982,1039
809,947
810,885
1869,1538
1455,1104
1718,1342
1454,1140
684,599
641,431
798,517
772,509
456,438
751,623
388,469
356,386
395,340
331,485
633,753
521,495
396,396
366,561
369,330
342,473
403,417
303,488
388,373
365,489
455,399
436,247
517,357
357,321
392,334
354,270
449,359
393,367
295,330
390,308
397,321
384,349
423,285
374,308
474,383
360,333
395,265
315,269
438,415
514,397
360,306
521,473
301,313
362,307
764,779
841,885
593,540
520,536
610,494
762,881
599,439
582,557
660,631
483,654
593,640
599,572
999,793
727,981
525,455
590,545
489,747
810,589
466,477
630,620
721,883
723,737
548,531
718,570
585,742
651,820
504,428
647,610
700,856
615,706
572,413
632,470
760,871
387,484
446,472
618,563
591,732
463,561
438,498
325,427
576,663
442,370
448,479
389,396
442,425
340,433
346,462
390,293
503,583
463,425
311,359
626,521
426,423
570,495
338,329
384,411
368,459
352,500
481,481
450,445
391,409
556,547
417,398
423,489
435,644
680,756
591,651
498,485
509,535
514,432
562,586
360,359
372,465
658,741
676,737
684,754
469,467
443,469
307,450
343,329
307,333
342,526
411,393
599,702
537,630
380,470
361,455
370,415
471,488
490,359
487,460
303,391
429,380
431,518
457,332
374,371
546,455
357,357
355,420
372,341
341,389
483,343
278,308
413,290
557,687
452,371
524,504
604,479
2866,2682
429,373
513,459
510,438
531,581
414,395
504,461
748,609
471,735
450,470
573,539
818,476
427,451
444,422
665,528
734,445
594,475
457,466
471,467
725,581
437,499
523,478
480,621
672,871
450,373
400,456
709,880
580,456
575,559
470,485
593,541
597,800
507,533
442,361
793,640
487,485
464,520
505,522
703,558
511,461
489,495
395,378
435,577
580,731
435,490
550,481
697,482
406,527
443,415
836,602
379,480
594,548
482,521
557,519
930,721
526,534
443,437
671,656
879,623
390,409
698,529
1184,1323
478,517
366,418
564,557
1023,722
653,453
370,490
574,445
735,656
417,397
444,493
612,478
356,467
489,448
455,427
444,420
675,464
365,450
421,482
523,468
542,545
515,479
676,564
612,511
402,396
448,510
316,372
413,1006
343,405
355,415
432,431
361,410
398,369
392,415
353,463
286,443
468,368
1001,1056
1202,985
1211,1076
981,1204
2296,2850
2405,2192
1455,1253
1246,959
1120,1045
1103,1015
1919,1629
1692,1090
1728,1031
1659,999
694,812
732,746
798,707
1240,785
1087,866
797,703
705,611
750,807
1243,1268
1337,1554
1555,1372
790,756
770,805
881,826
1302,862
1071,1289
1493,1031
782,901
689,775
605,566
1275,1076
824,815
453,380
365,399
539,769
531,563
519,489
745,514
785,512
497,395
569,672
683,422
485,475
433,467
411,410
676,547
809,689
347,328
395,451
534,797
583,552
575,563
960,1225
1436,1334
1911,1744
1893,2348
2218,1903
2156,1926
1960,1554
1616,1158
1857,1760
1763,1700
2043,1981
771,699
887,820
703,739
745,867
1189,877
972,892
667,592
593,693
748,628
853,705
500,587
571,599
638,674
1080,1081
889,684
705,611
539,608
852,835
738,633
929,1070
558,582
427,598
608,667
1094,1022
599,689
700,587
1043,950
1129,1020
746,634
647,667
759,625
1067,860
890,750
576,585
723,650
816,1162
868,1186
673,582
650,616
845,624
897,708
597,584
554,545
522,610
907,756
602,910
611,627
665,702
690,648
800,1131
526,722
624,684
783,968
694,1017
806,809
569,536
766,649
647,1032
685,1013
575,630
608,598
714,1037
728,1058
611,792
701,697
664,681
754,1153
714,1072
622,538
604,693
729,913
551,928
597,519
671,714
552,742
647,690
610,544
568,603
628,574
637,806
970,1099
585,702
592,820
573,738
485,546
480,535
708,625
714,755
527,605
528,673
865,869
1038,1085
512,498
532,558
541,490
645,1208
717,762
411,406
1139,760
547,509
415,330
631,605
696,516
592,384
534,383
561,434
898,524
539,469
446,394
350,439
594,437
732,522
429,458
962,567
1147,588
509,468
518,432
438,388
518,361
