Client_0,Client_1,Client_0,Client_1
524,584,620,727
480,555,1255,1474
1279,1473,1282,1445
1277,1514,829,934
584,698,822,963
797,957,789,896
795,906,740,849
654,749,591,666
602,696,802,948
746,838,1293,1498
1423,1604,1239,1398
1291,1468,482,547
442,488,1421,1607
1102,1245,670,788
677,752,1048,1172
1000,1123,1040,1270
1258,1402,1339,1562
1229,1376,682,804
775,855,1224,1408
1120,1245,1123,1359
1318,1460,1149,1377
1302,1450,1150,1381
1295,1438,1339,1551
1247,1400,1149,1369
1434,1597,1340,1543
1219,1352,1333,1555
1184,1326,1326,1532
1187,1321,498,557
438,504,675,743
624,700,1414,1564
1205,1392,1281,1428
1340,1494,1220,1368
1509,1685,1376,1522
1263,1417,1323,1473
1465,1597,1180,1317
1277,1414,1229,1376
1126,1274,1269,1417
1155,1305,1353,1499
1305,1582,1301,1446
1241,1505,929,1043
907,1094,1163,1292
1131,1354,1378,1538
1306,1573,1296,1481
1291,1553,1252,1412
1314,1578,1130,1298
1374,1600,1076,1248
1392,1625,1126,1285
1454,1641,1196,1343
1531,1736,1273,1422
1290,1559,1101,1239
1310,1475,1185,1340
1204,1341,1151,1286
1201,1339,1094,1309
997,1167,569,663
552,619,918,1246
947,1063,1229,1373
1369,1574,906,1015
981,1139,895,1004
875,1286,1251,1405
1398,1617,920,1022
1056,1215,955,1076
930,1262,1287,1445
1491,1704,1304,1453
1139,1662,1223,1445
1372,1643,1392,1612
1206,1452,1389,1759
1416,1589,1363,1631
1446,1679,1428,1633
1098,1244,1437,1623
1158,1294,1433,1642
1205,1406,1407,1595
1183,1400,1427,1638
1194,1392,1306,1522
1340,1553,1297,1513
1336,1558,1378,1586
1142,1340,1419,1626
1189,1381,1408,1666
1483,1731,1261,1499
1387,1601,936,1063
842,947,1070,1203
1153,1332,1108,1297
1232,1404,1268,1415
1435,1660,1249,1383
1137,1363,1095,1262
1264,1489,1053,1244
1412,1611,1201,1380
1485,1705,1133,1265
1403,1583,1299,1524
1242,1472,1189,1419
1470,1695,1196,1424
1467,1673,1075,1211
1375,1563,1142,1296
1390,1588,1179,1345
1494,1696,1111,1257
1425,1637,1246,1501
1357,1598,1320,1553
1329,1550,1289,1516
1134,1350,1347,1601
1441,1681,1392,1656
1476,1718,1394,1634
1356,1608,1140,1365
1281,1495,1234,1474
1301,1475,1422,1731
1480,1739,1006,1214
1981,2190,566,626
548,627,1215,1370
1176,1396,1191,1401
1154,1335,1250,1477
1224,1405,1128,1327
1281,1442,1234,1415
1139,1332,1406,1601
1126,1271,1218,1457
1196,1370,1096,1235
1304,1509,1109,1260
1226,1382,1112,1243
1071,1209,1108,1312
1063,1286,1126,1327
1026,1165,813,918
977,1150,1078,1243
1352,1564,1173,1329
1419,1653,1126,1274
1005,1237,1095,1313
1205,1720,1227,1379
979,1126,1089,1307
1173,1321,1151,1318
1243,1389,1321,1560
1100,1246,1032,1192
1251,1465,1040,1210
1286,1499,1148,1286
1086,1307,1065,1213
1257,1476,1095,1227
1040,1258,1105,1274
1355,1587,1248,1396
1133,1355,1165,1332
1376,1615,1135,1296
1388,1654,1347,1501
1207,1443,1343,1631
1481,1753,1160,1378
1313,1534,1129,1346
1251,1481,1214,1432
1261,1476,1175,1401
1238,1459,1273,1490
1150,1378,1106,1551
1185,1398,1274,1513
1283,1513,1235,1458
1240,1447,1078,1300
1189,1407,1260,1506
1365,1597,1270,1514
1339,1572,1184,1403
1229,1429,1212,1449
1340,1583,1300,1538
1276,1515,742,870
707,854,1263,1495
1414,1655,1139,1382
1347,1636,865,1007
878,992,1100,1270
1125,1275,1036,1230
1068,1378,1283,1427
1162,1316,1042,1185
1268,1478,1243,1492
1330,1558,1199,1448
1279,1510,1232,1475
1249,1474,1122,1268
1216,1430,1159,1307
1213,1362,1246,1395
1065,1223,1113,1258
1313,1549,1036,1173
1177,1377,1080,1212
1230,1428,1074,1212
1219,1432,1117,1261
1331,1569,1238,1388
1379,1609,1134,1275
1287,1499,1158,1298
1307,1464,1194,1339
1323,1527,1158,1311
1255,1413,1076,1245
1117,1257,1030,1164
1057,1200,1074,1292
1214,1451,1023,1191
1170,1375,1074,1247
1118,1269,1072,1210
1135,1270,1247,1414
1294,1468,1239,1391
1404,1577,1169,1313
1246,1392,1200,1348
1254,1403,1140,1296
1256,1450,1224,1402
1068,1275,1160,1302
1261,1433,1025,1163
1260,1422,1083,1216
1199,1361,1106,1286
1213,1344,1220,1366
1233,1420,1293,1488
1183,1326,1142,1331
1236,1368,1314,1519
1218,1389,1195,1402
1241,1433,1152,1317
1035,1242,1350,1590
1361,1574,1312,1552
1087,1307,1484,1695
1351,1535,1162,1397
1306,1654,1358,1518
1381,1603,1504,1722
1348,1532,1463,1752
1585,1876,625,747
611,733,1590,1811
1569,1834,1324,1498
1249,1402,1021,1128
1062,1259,1163,1307
1411,1620,1381,1526
1204,1355,1356,1552
1121,1272,1023,1168
825,937,1031,1215
812,921,1463,1665
1142,1294,1485,1692
1145,1313,1027,1172
878,980,1244,1456
1094,1275,1005,1147
842,949,1476,1674
1219,1393,1396,1600
1091,1238,1422,1627
1105,1290,1112,1345
1233,1388,1308,1530
1199,1378,1298,1465
1127,1365,1202,1335
1137,1403,1204,1357
1007,1251,1165,1359
920,1188,1178,1322
1073,1282,1171,1374
1130,1368,913,1069
806,969,1341,1494
1382,1640,1163,1306
1500,1704,1126,1362
1203,1353,1249,1456
1227,1462,1291,1520
1045,1193,1240,1431
1149,1404,1276,1524
1199,1458,1221,1399
1173,1392,1271,1425
1054,1204,1161,1390
1317,1479,1355,1580
1337,1581,1105,1251
1424,1690,1083,1320
1392,1647,1234,1463
1532,1762,1491,1703
1403,1674,1496,1712
1428,1680,1201,1426
1442,1673,1335,1494
1249,1491,1217,1437
1492,1690,1159,1378
1248,1465,1144,1336
1283,1517,1147,1288
1426,1619,1345,1587
1366,1549,974,1078
823,987,1170,1364
1348,1559,508,580
509,578,1287,1552
1391,1620,1338,1585
1412,1644,1405,1616
1158,1316,1278,1555
1270,1416,1400,1671
1236,1386,955,1094
1056,1176,1110,1341
1430,1643,1285,1446
1295,1443,1125,1274
1283,1433,1190,1423
1350,1596,1096,1243
1302,1523,1087,1223
1200,1342,1086,1226
1223,1359,1091,1231
1197,1366,1158,1294
1148,1283,1104,1238
1217,1375,1288,1450
1085,1226,1118,1311
1262,1479,1111,1278
1306,1533,1100,1338
1299,1444,1184,1393
1420,1616,1222,1402
1483,1652,1225,1487
1399,1600,1151,1373
1346,1547,1136,1297
1241,1444,1215,1475
1467,1718,1115,1309
1222,1357,1196,1385
1337,1484,1181,1345
1299,1447,1095,1241
1126,1261,1061,1257
1133,1269,1192,1321
1079,1293,1167,1328
1387,1614,1144,1313
1376,1612,1181,1329
1368,1598,1257,1397
1138,1371,1096,1259
1299,1446,1148,1308
1273,1420,1042,1188
1146,1309,1092,1274
1075,1254,1105,1292
1122,1333,1179,1358
1128,1368,1156,1309
1357,1569,1122,1256
1176,1313,1376,1783
1248,1463,1109,1320
1267,1522,1115,1253
1225,1374,1286,1506
1496,1714,1516,1748
1441,1703,1502,1745
1309,1478,603,701
677,817,852,1009
890,1039,1503,1658
1313,1534,1048,1258
1206,1366,1351,1514
1371,1647,1117,1266
1203,1354,1404,1608
1182,1341,1531,1776
1268,1518,1353,1628
1392,1633,1308,1608
1336,1576,1193,1458
1148,1326,1232,1487
1227,1389,1356,1596
1330,1504,798,936
924,1020,948,1177
983,1130,1334,1606
1437,1586,1407,1653
1473,1779,1343,1489
1296,1556,992,1097
962,1140,1284,1417
1282,1537,990,1101
970,1152,1369,1520
1356,1644,1187,1396
1427,1665,1368,1534
1350,1604,1527,1934
1805,2067,513,566
551,598,1156,1303
1328,1512,1084,1231
1237,1458,1357,1639
1418,1677,1083,1320
1251,1395,1134,1376
1296,1443,1051,1276
1221,1352,1171,1312
1246,1379,974,1125
1180,1355,1026,1244
1272,1434,740,894
869,976,1079,1294
1274,1418,1143,1379
1430,1607,1158,1292
1173,1359,1218,1398
1334,1557,1113,1250
1220,1426,1166,1335
1240,1387,1121,1260
1224,1384,1154,1344
1270,1477,1441,1618
1198,1471,1181,1320
1297,1520,1134,1508
1286,1450,1026,1179
1230,1434,1139,1295
1242,1436,1097,1364
1355,1583,1046,1194
1270,1488,1093,1231
1212,1425,1135,1278
1270,1466,1145,1277
1281,1483,1138,1270
1158,1299,1152,1288
1123,1293,1122,1260
1194,1335,1206,1385
1494,1720,488,546
491,553,567,634
587,649,1094,1256
1336,1577,962,1106
1175,1392,1008,1521
1328,1595,1058,1229
1325,1576,1114,1274
1270,1462,1336,1556
1177,1389,982,1114
1167,1300,1196,1335
1280,1416,1168,1306
1232,1371,1154,1295
1240,1376,1205,1356
1448,1623,1167,1305
1240,1379,1148,1292
1226,1363,1138,1275
1226,1362,1321,1524
1059,1192,1198,1404
1036,1181,1135,1266
1058,1196,1215,1345
1157,1297,1135,1368
1006,1177,1184,1350
1075,1208,1210,1385
1130,1266,1454,1632
1151,1469,1058,1200
1195,1330,1416,1561
1128,1279,882,1105
920,1024,1074,1270
1193,1327,1279,1438
1161,1339,1175,1324
1099,1247,1185,1395
1107,1260,1198,1347
1124,1294,1031,1179
1199,1344,997,1160
1180,1313,1073,1296
1346,1542,1266,1494
1164,1387,1028,1223
1160,1355,1177,1411
1088,1302,1257,1480
1195,1433,1527,1773
1325,1602,1569,1747
1355,1513,1376,1560
1492,1734,824,934
1005,1185,268,375
324,365,743,878
848,985,1330,1578
1390,1632,1216,1448
1266,1478,1153,1323
1333,1502,915,1020
821,971,1066,1233
950,1129,1183,1325
1155,1347,1337,1497
1172,1398,1244,1389
1243,1473,1193,1340
1131,1345,918,1023
914,1078,1086,1210
1251,1444,1185,1331
1389,1621,1185,1323
1345,1564,1331,1562
1095,1297,1061,1208
1292,1518,1059,1252
1310,1525,1114,1281
1312,1508,1485,1629
1373,1520,1306,1549
1310,1481,1203,1455
1416,1606,1386,1614
1189,1335,1157,1313
1357,1538,1217,1380
1144,1298,1249,1497
1057,1192,1019,1165
1323,1456,984,1118
1225,1361,1065,1288
1219,1354,1221,1432
1185,1442,1266,1407
1340,1527,1227,1365
1400,1680,1292,1428
1196,1400,1298,1477
1211,1421,1302,1480
1235,1373,1293,1427
1119,1300,1316,1451
1221,1410,1340,1485
1182,1443,1176,1310
1128,1366,1222,1453
1328,1553,1128,1293
1187,1340,1332,1591
1434,1669,1290,1539
1292,1478,1294,1547
1276,1427,1362,1591
1196,1408,1330,1534
1214,1450,1144,1327
1323,1537,1164,1315
1288,1464,726,819
772,865,904,1033
1162,1388,1056,1264
1303,1591,1417,1643
1111,1366,1288,1539
1251,1527,1460,1663
1215,1401,1345,1584
1195,1397,2286,2456
2667,2829,809,959
908,1031,1187,1363
1439,1665,1448,1661
1356,1626,1383,1616
1369,1630,1184,1317
1190,1408,1234,1365
1280,1486,1097,1234
1394,1583,1227,1392
1297,1528,1446,1810
1147,1371,1136,1271
1228,1365,1282,1480
1188,1325,1243,1425
1290,1439,1200,1428
1492,1694,1358,1588
1178,1416,1238,1424
1239,1389,1227,1399
1282,1415,1253,1396
1182,1416,1257,1444
1184,1346,1038,1194
1136,1302,606,704
670,768,1346,1585
1333,1474,811,954
889,1007,1549,1756
1211,1359,1446,1699
1487,1647,1434,1710
1410,1563,1451,1704
1454,1653,1458,1679
1221,1385,1354,1607
1401,1565,2535,2854
1254,1725,1334,1529
1084,1313,590,653
595,654,953,1081
969,1069,1275,1427
1461,1679,1268,1447
1445,1686,973,1125
1196,1373,1110,1580
