Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1
718,838,665,776,652,796,501,622,563,680
696,813,1229,1395,844,972,503,636,525,627
953,1071,636,766,710,865,818,946,571,898
647,755,676,799,785,920,513,586,510,603
741,814,616,729,578,654,345,413,352,419
520,573,710,836,576,628,281,340,281,333
405,471,612,728,487,565,288,347,295,354
377,436,730,806,503,569,328,388,360,433
339,413,529,584,362,416,268,306,352,400
1389,1636,427,487,1537,1808,1197,1369,1254,1512
1389,1578,457,522,1482,1682,1960,2192,1269,1667
1416,1661,397,453,1130,1391,1026,1223,1127,1375
1349,1584,1587,1842,1366,1601,2477,2680,1969,2264
1267,1664,1590,1807,1734,1944,1308,1487,1263,1480
1461,1682,1514,1753,1311,1485,818,988,923,1066
1619,1786,2068,2255,1573,1720,716,843,766,893
884,1132,1738,2093,1256,1325,460,562,353,434
460,524,1315,1540,485,545,321,377,303,343
1196,1407,1649,1815,1352,1532,1050,1250,895,1072
2296,2978,966,1032,3704,4480,4490,4909,4137,4527
1177,1382,373,449,1304,1554,749,1176,933,1064
1413,1605,1260,1491,2821,3010,1604,1831,1185,1378
1180,1394,2597,3206,1207,1380,996,1211,835,991
1267,1479,1143,1333,1318,1535,1280,1455,1087,1306
630,735,1341,1565,651,782,488,578,453,540
380,462,1142,1326,428,493,320,387,378,431
482,655,1242,1465,525,665,298,374,356,407
549,600,657,783,702,765,239,279,321,380
596,647,431,487,2318,2378,412,465,402,471
611,682,509,662,617,682,358,436,369,461
5432,5510,355,405,4195,4308,2954,3273,5395,5472
438,513,497,558,377,449,296,368,387,474
523,596,702,768,404,468,393,455,495,564
297,342,3746,3923,385,440,291,352,327,387
950,1133,291,352,1111,1339,1599,1816,1674,1894
1230,1447,369,420,962,1158,1219,1458,1375,1566
1310,1509,227,333,1041,1222,1357,1535,1216,1383
1531,1772,914,1076,1033,1267,1351,1579,1453,1666
3119,3324,921,1117,1859,2288,8776,9001,6826,6993
693,840,920,1516,1183,1306,551,655,651,770
509,584,1242,1735,444,510,998,1060,827,888
425,495,2499,2745,453,521,628,688,472,537
259,320,517,596,313,402,356,423,348,410
461,535,420,493,535,612,414,475,550,611
286,406,353,422,437,498,335,406,310,375
380,446,281,330,388,544,361,443,372,440
384,469,495,558,531,590,421,482,512,588
414,483,337,375,588,648,438,521,516,602
1831,1921,439,483,689,838,1436,1520,1239,1319
944,1024,507,589,711,817,1359,1456,992,1069
419,504,490,571,490,582,593,687,497,587
616,738,735,827,683,790,729,842,770,839
1073,1182,585,687,812,988,998,1109,1029,1149
607,870,511,597,714,866,847,968,725,839
1018,1290,558,655,714,814,1236,1342,785,1072
449,552,1176,1284,595,689,556,658,507,634
483,601,925,1029,626,728,671,779,574,686
778,891,595,721,756,906,1619,1743,1224,1496
1497,1607,498,622,717,817,1816,1940,1855,1962
908,1001,487,570,623,763,1130,1237,1118,1233
381,434,1032,1162,454,529,405,478,390,462
732,899,955,1647,572,643,1063,1137,494,583
366,433,631,1139,404,454,358,437,348,431
336,400,440,512,558,615,354,447,392,445
774,886,513,596,519,622,867,972,671,779
797,910,378,485,635,725,673,797,676,800
572,680,377,452,679,787,525,633,550,669
560,661,537,623,844,981,567,688,615,708
1211,1328,607,730,714,943,1627,1794,1976,2100
4004,4135,540,638,885,1081,1791,1968,1781,1889
494,575,708,805,635,749,578,698,518,648
747,836,1018,1227,670,776,685,787,736,873
1847,1995,1628,1805,781,1018,1742,1905,1776,1882
995,1117,517,591,659,776,1131,1241,649,920
759,875,612,782,656,779,671,815,554,675
588,687,1303,1559,664,775,564,685,506,617
1994,2152,654,754,875,1213,2993,3395,2660,2824
1679,1792,598,729,724,840,1459,1575,1277,1395
429,512,591,710,617,709,405,498,451,529
608,714,1510,1726,522,588,547,658,508,616
512,597,1022,1217,537,632,557,661,491,601
541,677,499,592,572,706,383,486,486,603
474,563,512,624,609,721,474,567,481,578
489,567,589,696,632,742,544,637,429,536
547,651,551,621,752,879,531,634,529,621
604,738,482,542,674,807,564,676,442,700
615,741,425,602,665,786,598,725,600,710
1179,1496,552,637,863,1060,2055,2177,1386,1489
1598,1725,692,812,1260,1442,1679,1814,1780,1902
595,667,586,700,571,677,525,638,592,726
644,752,1456,1560,535,651,532,647,492,603
640,760,1894,2017,635,738,552,671,491,594
1087,1234,570,685,1635,1749,1277,1398,735,860
1117,1219,576,684,635,739,1156,1258,598,723
515,618,564,919,745,860,617,730,656,762
481,585,998,1127,513,609,518,632,495,603
1046,1166,799,909,1063,1162,1046,1148,1130,1240
625,881,642,744,678,810,1005,1117,740,852
496,608,568,679,572,691,627,744,543,660
861,1175,1787,1902,1657,1788,764,1775,1077,1205
482,603,624,752,526,641,533,640,560,663
509,617,628,747,605,719,616,735,520,637
546,644,1942,2064,515,601,592,701,602,769
700,819,572,639,777,961,1816,1939,1100,1211
459,532,583,703,542,632,554,669,551,667
654,774,579,689,585,702,676,787,603,720
654,809,780,984,574,793,623,712,585,867
2263,2420,648,781,2500,2656,3381,3531,2300,2780
512,617,570,788,408,548,564,669,588,725
560,672,614,716,581,681,612,713,553,649
1638,1790,946,1109,1861,2008,908,1247,655,769
1633,1828,665,778,1767,1944,1351,1529,681,883
591,713,664,793,638,766,601,732,576,688
607,703,885,987,514,626,664,765,607,703
1433,1606,1291,1449,1758,1934,710,1079,741,933
635,753,686,803,527,640,708,815,617,710
600,706,696,812,537,642,545,636,645,745
752,869,693,831,661,787,838,1038,696,970
547,640,765,883,495,604,561,677,611,720
566,665,743,862,464,533,656,772,642,754
1331,1439,734,848,636,1120,1113,1237,796,901
653,748,642,748,536,630,661,742,870,995
5553,5748,679,790,5666,6433,4182,5257,2289,2866
1794,1988,556,667,2022,2223,1310,1643,1630,1869
1361,2159,611,732,2336,2668,1343,1586,2171,2346
1613,1769,6044,6254,1372,1621,1257,1453,1512,1771
828,1039,1617,2124,1442,1610,746,973,760,891
613,1022,1801,2587,1028,1157,647,803,593,802
548,649,1514,1898,400,575,753,854,636,740
508,601,999,1102,452,530,527,715,675,773
535,645,725,809,582,657,612,707,623,733
473,563,668,762,468,541,771,934,587,766
1247,1360,644,756,881,1048,757,838,671,755
733,1122,741,838,1165,1293,806,1141,593,682
536,620,532,632,427,580,540,644,574,688
593,706,691,784,557,653,601,695,559,671
553,649,744,837,516,600,541,663,555,659
1301,1443,616,718,1483,1607,1038,1425,707,948
1096,1518,699,805,947,1104,1152,1242,1100,1177
591,676,712,801,456,534,576,678,712,822
504,591,969,1064,358,433,554,652,555,648
499,594,633,726,434,517,638,724,820,921
1708,1796,555,676,1688,1788,2118,2207,871,966
677,829,647,744,740,829,881,980,934,1230
750,882,585,764,468,586,672,766,761,852
1116,1551,1397,1484,1556,1683,1281,1409,1506,1610
994,1354,920,1025,799,928,1071,1190,1031,1133
704,857,1011,1242,636,744,767,876,735,841
969,1088,1252,1366,743,921,743,988,1208,1316
1057,1168,786,910,620,722,761,1061,525,963
833,1058,896,998,572,662,569,1048,787,961
925,1039,837,1069,675,741,844,981,838,991
817,928,1021,1199,611,677,737,883,769,881
878,973,955,1129,679,747,702,848,720,835
1567,1686,805,912,779,947,600,828,962,1073
794,898,554,737,901,1071,922,1033,736,860
753,948,542,760,810,906,779,875,822,950
908,1003,904,1007,687,754,810,938,575,785
874,986,727,842,936,1105,926,1041,1657,1766
925,1269,990,1091,925,1115,899,1305,1516,1722
945,1300,787,911,957,1176,903,1317,1566,1753
1046,1171,853,962,766,878,552,907,775,1060
753,870,853,967,778,871,774,896,873,970
831,945,843,950,767,853,769,872,723,844
892,1068,1021,1133,1015,1123,771,924,747,850
947,1035,983,1100,1002,1122,1251,1372,1231,1345
1539,1642,502,705,1328,1728,1413,1530,1067,1173
1968,2554,553,840,2187,2271,1267,2460,1754,1903
749,844,724,817,708,780,830,878,648,702
662,723,1929,2032,626,703,789,851,644,752
740,804,1918,2372,629,697,376,580,578,639
776,847,827,921,662,731,673,767,377,590
572,636,624,736,465,532,449,522,573,611
725,794,666,726,712,784,498,608,608,681
639,729,558,643,554,650,651,773,539,621
994,1074,466,529,907,984,680,834,696,862
2067,2183,531,699,1709,1881,1561,1675,1036,1352
783,903,566,641,870,1004,919,1043,1017,1130
1013,1094,435,671,1230,1347,701,839,913,1047
1912,2061,1498,1714,2282,2429,2389,2542,909,1023
1965,2064,965,1104,2230,2320,1518,1606,669,763
1036,1186,873,1008,1067,1173,905,1021,735,937
1232,1362,974,1104,1037,1154,931,1046,1058,1164
1166,1299,1649,1746,771,1069,885,995,963,1070
959,1049,983,1107,649,950,958,1036,931,1047
864,1077,977,1097,896,1014,1046,1144,730,885
648,967,988,1101,929,1040,1098,1219,1013,1148
994,1116,909,1018,1652,1761,938,1058,668,906
1233,1356,1192,1305,1692,1807,1242,1391,1010,1127
1096,1232,1040,1162,722,858,1014,1144,1163,1296
853,986,1565,1691,578,870,928,1050,1025,1153
1064,1181,1184,1307,974,1105,1109,1211,1016,1127
1210,1328,1107,1238,885,1021,1477,1590,1225,1328
1564,1683,838,948,1456,1584,859,958,1114,1260
860,997,842,983,1067,1163,896,1082,574,874
1114,1228,1215,1329,1080,1197,931,1055,996,1111
1070,1184,1499,1623,1044,1143,1101,1217,584,985
1456,1657,1023,1150,1604,1942,1457,1564,1063,1391
1685,1831,974,1101,2100,2256,1599,1917,1292,1460
581,891,971,1120,1034,1118,1121,1236,935,1051
956,1094,1988,2242,1408,1613,1068,1344,1035,1377
2009,2323,2587,2685,3198,3312,2560,2748,2917,3080
927,1046,907,1027,999,1107,529,685,709,901
1147,1264,1412,1523,1272,1381,1200,1307,1088,1216
1275,1601,1327,2145,1054,1307,780,1066,1429,1588
1849,2007,940,1045,2729,2907,1473,1583,2239,2419
1246,1464,1140,1265,1243,1384,1220,1326,789,1242
892,1041,1211,1339,959,1084,968,1081,613,938
1406,1502,2535,2990,1190,1290,1113,1250,1010,1135
703,831,615,928,1303,1410,1325,1422,1438,1577
2466,2554,1073,1165,1224,1309,1360,1495,1004,1254
553,646,860,1045,510,599,444,556,557,624
580,652,1746,1950,592,670,522,667,527,633
561,669,4849,5326,663,771,630,734,781,916
517,613,672,780,517,616,535,648,500,605
446,533,648,759,374,521,366,521,448,534
402,466,752,864,303,346,316,382,227,270
469,529,668,773,288,329,335,379,301,358
421,509,611,687,356,513,408,488,390,470
350,395,493,541,415,477,414,502,372,451
535,619,424,468,385,448,457,544,391,450
473,560,484,563,477,561,486,572,512,578
1224,1411,298,415,1627,1862,921,1095,1518,1745
1098,1318,522,582,1232,1441,934,1504,924,1084
1175,1376,515,578,950,1120,959,1121,916,1093
1021,1216,1044,1182,919,1207,1375,1528,576,808
671,813,700,1037,910,1000,682,813,420,511
472,566,988,1108,539,599,446,553,342,409
279,316,1187,1403,362,400,320,372,387,443
286,407,568,672,363,402,401,464,289,351
350,415,400,473,404,463,409,479,267,328
1003,1206,427,490,1021,1165,1236,1452,988,1118
2086,2492,440,481,4403,6040,2481,3638,5409,5959
1036,1232,431,503,1195,1439,993,1242,971,1205
2027,2218,1199,1370,1543,1934,1646,1886,1380,1593
