Client_0,Client_1,Client_2,Client_3,Client_4
556,906,811,993,1086
573,674,624,725,780
488,583,537,628,669
372,439,409,469,502
500,565,536,595,628
373,829,743,901,975
489,555,525,584,617
711,841,780,901,958
563,675,629,719,781
381,605,562,650,689
504,569,539,597,632
562,681,625,749,802
514,616,554,649,686
532,605,572,667,704
677,790,739,839,889
543,616,582,649,686
743,896,834,952,1006
623,725,677,771,824
559,700,636,767,839
611,728,673,782,845
559,631,598,663,700
536,708,595,765,827
524,660,597,769,838
518,643,586,785,856
330,641,582,696,772
523,639,581,685,738
563,752,618,802,849
357,544,510,577,616
580,747,639,806,868
545,688,650,724,765
298,620,560,680,747
762,1044,968,1114,1180
469,630,524,698,756
935,1114,1035,1178,1240
616,876,820,929,988
1063,1227,1152,1299,1369
809,979,898,1056,1149
615,825,680,880,939
1200,1372,1294,1448,1523
732,862,806,917,979
1152,1335,1251,1422,1505
684,920,760,1010,1108
1414,1676,1548,1804,1932
929,1145,1041,1247,1351
3669,4400,4044,4746,5303
775,945,852,1032,1129
1186,1397,1312,1476,1554
701,871,789,950,1038
880,1134,1042,1216,1301
676,909,740,999,1092
1218,1417,1328,1513,1601
621,965,872,1041,1142
846,983,918,1047,1100
745,854,804,902,950
385,597,556,673,780
1093,1615,1499,1739,1847
1299,2215,1994,2421,2632
2112,2588,2353,2799,3010
967,1457,1348,1564,1691
959,1442,1331,1547,1662
2010,2348,2202,2495,2648
970,1313,1425,1519,1611
988,1354,1101,1449,1554
1563,1945,1762,2124,2322
1475,1730,1612,1817,1902
612,732,675,866,948
888,1070,983,1147,1221
881,1017,954,1077,1135
628,749,691,886,976
678,854,774,929,1013
1002,1151,1084,1218,1286
542,715,667,758,808
929,1115,1027,1196,1276
585,766,713,810,860
979,1127,1058,1212,1278
703,853,782,921,1005
513,897,815,963,1040
681,852,735,898,947
994,1159,1085,1224,1289
603,723,665,796,876
966,1105,1042,1172,1247
682,813,753,1026,1092
595,773,722,824,867
613,709,666,795,874
704,1009,793,1092,1165
548,721,600,766,816
716,871,799,936,1014
1012,1177,1103,1249,1320
611,710,664,794,845
1052,1217,1144,1284,1351
943,1087,1023,1148,1208
953,1101,1033,1165,1231
891,1033,968,1097,1160
477,589,540,638,693
696,794,883,968,1054
548,649,601,714,822
415,722,662,779,836
516,604,554,642,694
573,704,640,762,817
746,840,922,1018,1085
542,617,583,653,694
809,914,1017,1164,1234
538,629,595,720,779
1081,1684,1981,2352,2670
2322,2626,2906,3173,3457
1077,1891,1706,2070,2259
