Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4
1555,1850,1786,1722,1646,798,1044,1351,1251,1148,599,674,883,810,742,1205,1563,1472,1385,1297,843,897,1090,1031,959
648,907,851,785,713,678,768,858,955,1038,541,586,714,667,625,610,917,837,764,689,602,666,843,780,723
707,993,931,861,787,576,768,855,920,983,782,871,1088,1007,1246,606,860,791,733,673,856,940,1167,1102,1018
510,784,1021,945,870,614,695,773,861,939,855,974,1083,1194,1343,405,743,695,651,605,1591,1657,1844,1780,1715
556,886,956,694,821,581,653,729,817,889,525,602,852,926,785,684,1228,1309,1135,1027,773,845,1060,997,921
823,1729,2007,1913,1821,1103,1244,1389,1527,1744,637,729,1024,1105,947,1751,2278,2219,2140,1822,972,1073,1342,1244,1158
1292,1625,1556,1474,1391,2686,3097,3409,3655,3934,549,602,738,689,646,4204,4655,4586,4496,4356,795,878,1117,1039,969
516,792,729,655,590,474,537,596,665,725,759,829,1027,956,894,459,703,640,583,523,560,788,976,912,854
445,571,679,626,514,437,491,542,607,658,491,843,1116,1020,932,218,599,541,486,430,2845,2932,3070,3007,3137
577,832,774,705,644,461,528,584,643,705,2067,2174,2421,2342,2254,379,593,536,484,433,985,1058,1284,1213,1130
368,872,816,744,680,442,486,545,645,700,339,603,778,716,661,381,584,534,487,429,596,665,846,781,724
237,748,678,571,506,459,522,576,634,687,609,662,828,762,708,339,471,437,407,376,442,502,667,609,557
375,606,540,478,423,547,623,687,753,803,728,805,1007,952,888,384,582,532,484,438,580,642,812,756,699
464,746,673,608,539,521,575,623,676,718,483,847,1117,1051,954,323,456,422,392,361,569,622,773,717,672
496,752,704,592,650,453,519,586,651,723,582,636,789,734,686,223,592,538,489,438,463,520,659,610,565
1122,1190,1424,1295,1367,1333,1438,1733,2035,1602,456,514,683,624,570,1702,1915,1862,1811,1759,455,505,641,592,548
504,690,636,587,549,474,641,777,857,709,615,669,826,771,721,455,634,587,546,504,497,553,740,640,690
3646,3999,4424,4296,4172,4103,4326,4948,4742,4539,458,493,611,556,524,5099,5326,5864,5559,5729,398,455,639,692,589
1100,1988,1885,1723,1260,1447,1622,1782,1963,2120,818,1025,1225,1158,1086,1411,1842,1752,1670,1577,1572,1869,2057,1998,1937
4870,5467,5167,5028,5323,3623,4294,4502,4673,4843,537,586,747,662,709,4147,4734,4608,4456,4310,601,683,878,813,749
1053,1637,1497,1350,1210,1286,1437,1600,1758,1912,976,1090,2112,2018,1913,1647,1962,2088,1848,1745,5274,5493,5767,6068,5938
2375,3800,3637,3483,3306,1877,2101,2278,2444,2587,898,995,1295,1813,1458,2302,2470,2867,2744,2614,1460,1852,2344,2243,2125
4021,5558,5300,5039,4812,1714,2640,3263,3068,2856,1688,1942,2313,2583,3088,5090,5702,5565,5422,5267,4197,4391,4543,4798,4683
1025,1663,1533,1408,1264,1136,1256,1381,1491,1607,1334,1495,1958,1816,1650,1076,1476,1372,1275,1182,1699,1833,2270,2112,1972
2180,2610,2509,2407,2303,1550,1757,1907,2014,2115,1148,1425,1834,1673,1543,2686,3078,3918,3738,4076,2057,2218,3023,2844,2377
911,1314,1215,1124,1030,1239,1354,1465,1556,1657,1318,1455,3188,1703,1582,1677,2296,2585,2442,2781,5671,5860,6289,6143,6007
889,1441,1315,1193,1011,990,1094,1195,1297,1397,1013,1117,1577,1456,1229,1042,1522,1330,1231,1427,1224,1343,1687,1582,1474
1407,1940,1841,1716,1507,1072,1200,1298,1401,1511,963,1083,1440,1315,1203,1950,2317,3275,3041,3174,4060,4168,4427,4346,4262
940,1290,1429,1185,1074,1020,1127,1306,1431,1549,568,922,1285,1161,1054,1346,1703,1611,1530,1446,2628,2723,2966,2886,2807
833,1323,1203,1083,965,998,1113,1229,1341,1438,779,1168,1586,1465,1292,994,1451,1337,1228,1118,1344,1462,1799,1687,1574
1750,2320,2207,2074,1908,1048,1163,1276,1376,1480,968,1089,1422,1323,1197,927,1445,1331,1196,1065,3242,3348,3626,3533,3443
623,1007,915,816,718,911,1007,1100,1192,1280,832,951,1202,1554,1424,580,914,818,748,662,2200,2295,2541,2459,2378
675,1078,990,875,774,856,1053,1152,1248,1340,933,1076,1488,1339,1209,704,1009,929,857,784,1267,1365,1648,1556,1456
637,997,911,811,722,832,925,1011,1108,1188,1013,1156,1564,1422,1292,589,922,834,755,676,826,1284,1602,1476,1355
2377,3561,3795,3686,3905,3820,3928,4008,4094,4186,880,990,1306,1204,1090,2995,3148,3398,3268,3507,769,1073,1349,1259,1168
405,579,941,851,749,596,722,794,851,904,761,865,1180,1069,970,224,644,563,518,436,900,991,1248,1153,1065
1143,1324,1282,1240,1197,2114,2313,2488,2658,2728,712,772,1009,927,845,1762,1952,1903,1859,1813,818,902,1174,1077,993
422,609,559,505,458,302,573,632,694,754,1179,1317,1803,1567,1439,225,597,539,487,439,4508,4625,4736,4845,4949
748,1660,1594,877,809,1224,1509,1580,1647,1706,464,735,908,843,788,955,1203,1139,1080,1022,617,694,840,796,744
224,494,438,394,362,385,420,453,491,553,542,713,858,811,759,230,597,541,493,445,1855,1955,2573,2381,2198
418,603,552,514,461,378,433,475,523,562,574,640,827,757,696,391,616,556,501,448,466,514,686,735,639
904,1108,1060,1011,964,2291,2343,2385,2427,2469,675,734,889,840,791,636,954,903,850,780,1399,1638,1824,1759,1698
483,678,633,579,533,411,464,512,556,612,426,462,550,519,597,208,548,498,453,407,476,541,699,647,597
435,627,762,557,696,493,548,621,694,756,606,675,874,804,743,415,757,824,693,621,541,600,769,709,654
466,778,646,580,712,453,497,540,600,673,1283,1355,1525,1471,1415,285,724,658,598,536,1208,1264,1418,1367,1317
497,759,695,630,566,477,547,615,674,745,529,568,662,634,600,260,697,630,570,508,379,427,565,515,472
1625,2368,2189,2002,1805,2051,2277,2476,2659,2854,578,644,825,759,891,2286,3029,2854,2701,2502,526,586,757,695,641
3804,4791,5973,5668,6192,6683,6907,7111,7320,7505,561,634,842,775,700,5945,6605,6463,6323,6174,477,536,703,642,590
1385,1679,2164,1821,1547,2146,2368,2566,2750,2913,458,501,609,709,670,2732,3259,3445,3091,2917,466,508,622,581,545
7403,7617,8810,7888,8620,5134,6296,6898,6704,6502,1444,1648,2217,2053,1856,7906,8153,8551,8345,8805,2145,2342,2974,2749,2548
1664,2340,2555,2450,2688,3537,3653,3755,3847,3938,5806,6020,6653,6421,6221,2981,3348,3259,3174,3084,5862,6124,6812,6595,6373
548,845,734,675,614,470,516,561,601,639,1319,1511,2010,1854,1698,399,593,542,497,450,2028,2224,2573,2401,2754
401,612,552,500,454,465,512,563,619,681,2062,2267,2857,2689,2514,291,420,387,357,325,7628,7992,8226,8487,8646
