Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
11263,16269,18112,19024,20407,21508,21827,22290,23712,23968
1233,6652,8529,9187,10760,11635,11924,12318,13754,14008
10830,10901,10957,11013,11067,11121,11181,11544,3695,3886
1146,1190,1234,1275,1316,1359,1404,1509,10805,10905
10751,10880,10967,11057,11101,11172,11274,11381,924,995
1372,1422,1472,1519,1567,1614,1647,1674,11072,11137
10696,10751,10797,10843,10895,10942,11244,11276,1185,1241
975,1004,1031,1059,1085,1113,1210,1238,10797,10839
10451,10499,10553,11006,11054,11100,11146,11191,718,745
782,831,874,1154,1195,1236,1275,1315,10669,10708
11134,11191,11241,11294,11341,11388,11436,11483,657,684
1664,1712,1759,1804,1850,1894,1951,1998,10735,10774
10515,10773,10830,10879,10912,10943,10973,11005,710,738
637,952,978,1005,1032,1058,1084,1111,10785,10844
10656,10708,10754,10804,10856,10912,11360,11407,815,858
1020,1062,1103,1144,1185,1226,1369,1411,10837,10904
10479,10513,10542,10808,10841,10874,10905,10938,875,923
618,648,676,870,898,924,951,978,10754,10794
10709,10767,10819,10872,10924,10975,11026,11080,701,730
1134,1189,1236,1284,1332,1378,1427,1470,10690,10801
11649,11701,11742,11785,11831,11887,11944,12008,627,732
1476,1519,1564,1609,1731,1817,1894,1970,10734,10771
10653,10694,10728,10762,10794,10825,10859,11300,678,705
842,881,927,963,1012,1066,1128,1237,10764,10820
10625,10676,11025,11087,11199,11259,11318,11382,870,917
793,838,1309,1353,1399,1445,1488,1533,11056,11115
10833,10906,10971,11031,11090,11147,11199,11261,1152,1195
1248,1299,1346,1393,1443,1492,1541,1589,10821,10867
11378,11466,11548,11628,11691,11751,11807,11870,763,793
1844,1895,1947,1996,2047,2098,2149,2200,10842,10905
10698,10763,10824,10887,10954,11016,11072,11558,864,914
1159,1209,1257,1299,1340,1381,1422,1519,11051,11136
10748,10815,10879,10934,10990,11042,11095,11149,1121,1177
1111,1153,1193,1235,1275,1318,1360,1402,10783,10849
10584,10865,10915,10949,10989,11038,11090,11124,786,834
711,1051,1096,1141,1171,1203,1249,1296,10800,10871
11347,11430,11502,11572,11644,11713,11785,11855,831,873
1839,1888,1937,1986,2030,2074,2126,2171,10887,10946
10742,10836,10877,10924,10978,11034,11356,11410,888,918
929,970,1019,1064,1107,1151,1310,1354,10576,10615
11500,11621,11741,11860,11974,12093,12220,12331,532,561
2355,2432,2562,2690,2856,3049,3246,3427,11150,11231
10553,10601,10646,10709,11151,11207,11263,11319,1214,1266
856,907,955,1002,1281,1327,1375,1422,10733,10792
11376,11467,11548,11624,11702,11781,11867,11946,754,794
1932,1985,2037,2090,2142,2195,2249,2302,10739,10777
10593,10832,10864,10896,10927,10959,10990,11022,689,715
636,889,917,943,969,995,1021,1047,10717,10821
10666,10706,10738,10769,10804,11087,11118,11149,697,767
805,833,859,885,911,1036,1063,1089,10723,10784
11215,11477,11565,11626,11680,11733,11785,11838,755,804
1793,1837,1879,1920,1961,2002,2042,2083,10860,10926
10870,10942,11005,11069,11130,11187,11249,11303,893,941
1305,1352,1398,1442,1488,1534,1577,1622,11044,11104
10644,10693,10749,10800,11187,11232,11273,11314,1053,1100
872,921,963,1003,1220,1352,1404,1444,10737,10779
10622,10684,10744,10801,10860,10920,11428,11489,704,731
1007,1059,1110,1158,1208,1257,1434,1485,10818,10867
10811,10883,10947,11011,11073,11133,11193,11254,829,877
1212,1262,1314,1365,1414,1455,1495,1542,10941,10998
10796,10865,10914,10967,11024,11080,11549,11599,909,938
1210,1252,1291,1331,1373,1415,1567,1614,10771,10836
10762,10832,10878,10926,10979,11036,11536,11588,808,856
1163,1211,1257,1302,1347,1392,1549,1591,10744,10802
10589,10625,10653,10946,10999,11051,11101,11151,768,811
733,761,796,1104,1150,1195,1239,1282,10765,10803
10629,10682,10728,11052,11099,11143,11194,11243,717,744
741,790,834,1124,1170,1214,1254,1298,10856,10921
11218,11278,11329,11375,11420,11469,11517,11565,851,891
1528,1580,1624,1663,1702,1743,1785,1824,10563,10663
10615,10656,10690,10725,10760,10809,10867,11355,533,602
944,998,1047,1089,1131,1171,1213,1336,10822,10890
10705,10758,10804,10848,10894,10939,10983,11405,870,919
991,1032,1072,1111,1150,1189,1227,1321,10840,10911
10807,10883,10948,11013,11086,11148,11681,11745,874,916
1268,1323,1375,1423,1468,1513,1690,1736,10879,10933
10789,10855,10917,10977,11028,11074,11126,11176,868,911
1129,1171,1211,1254,1298,1341,1382,1422,10656,10695
10630,10663,10895,10927,10957,10987,11019,11051,631,658
685,714,933,960,986,1013,1039,1065,10769,10828
