Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4
1299,1350,1511,1454,1394,795,863,1047,989,925,469,565,651,744,826,464,1233,1301,1266,1335,645,750,724,508,778,657,1046,955,860,762,384,572,615,663,705,440,502,689,622,563,559,991,10559,691,827,526,754,699,649,589
521,594,782,717,656,470,536,681,630,584,362,415,467,516,575,434,10512,10604,10558,10655,10592,10784,10724,541,10875,439,536,491,588,655,246,455,501,553,597,218,397,528,482,441,418,10638,552,506,589,528,731,682,631,583
420,476,636,580,528,207,443,598,544,498,246,453,492,541,596,374,621,711,666,754,687,802,778,748,831,255,531,479,579,634,366,426,483,543,597,232,444,613,552,498,490,667,10653,610,709,455,656,603,555,507
439,489,628,578,534,262,520,706,641,582,414,474,527,573,635,346,10624,10733,10678,10786,10536,10688,10635,524,10782,297,567,518,629,687,417,503,565,618,669,245,485,633,583,534,510,10646,687,626,730,519,744,683,626,576
416,469,617,568,519,212,421,564,514,469,490,548,604,661,762,312,752,831,793,869,633,814,773,725,859,533,818,749,680,611,314,370,510,564,611,602,704,982,890,799,494,672,10627,616,716,527,749,697,645,583
444,504,686,622,564,457,516,689,626,572,429,489,540,589,644,433,10555,10807,10762,10854,10427,10530,10484,949,10630,469,591,535,644,706,430,484,542,592,642,411,475,653,589,533,486,10628,641,586,681,714,1038,962,884,800
443,495,649,594,545,250,470,649,583,527,248,494,555,617,682,405,627,851,812,888,509,693,649,604,739,434,546,491,600,660,442,496,556,610,662,598,650,806,752,704,481,652,10624,598,689,507,687,647,603,552
411,468,648,586,528,492,560,779,704,625,485,548,599,647,706,431,10623,10713,10670,10755,10608,10774,10723,394,10666,485,616,553,677,745,262,489,540,597,647,446,505,674,612,559,475,10650,649,590,686,274,735,673,615,554
442,495,648,593,545,404,463,606,556,512,447,497,547,599,663,471,711,787,752,821,749,947,899,844,796,473,579,529,625,680,422,475,527,574,619,442,493,624,581,537,502,680,10551,617,727,581,839,774,717,650
431,489,660,603,546,258,472,645,585,534,436,491,543,593,649,437,10736,10817,10895,10974,10531,10739,10687,605,10586,499,603,558,646,696,407,468,523,586,641,398,451,599,546,499,395,11263,546,496,587,515,719,665,617,567
1181,1241,1426,1359,1302,630,697,893,823,758,527,781,841,901,958,548,965,1044,1123,1210,700,838,788,548,744,440,564,505,620,681,573,682,767,845,923,440,495,664,603,547,1127,1292,10694,1237,1336,584,835,775,718,656
492,548,705,645,597,461,522,703,635,580,484,537,581,628,676,438,10591,10698,10653,10743,10453,10660,10607,424,10506,304,585,514,657,720,438,500,555,613,666,237,439,591,532,487,545,10560,700,651,740,489,709,633,583,539
282,520,676,619,573,385,435,568,521,479,406,461,526,576,631,432,713,810,758,865,628,769,723,463,676,285,620,565,684,749,408,469,526,581,633,295,329,422,389,359,422,563,10636,514,602,496,959,889,800,711
387,440,590,536,489,460,523,695,633,580,471,534,593,650,758,412,10649,10768,10712,10827,10453,10495,10620,413,10579,464,579,525,632,692,436,493,550,603,655,548,616,811,741,679,495,11503,656,601,692,525,777,720,662,590
459,518,680,625,571,446,511,686,625,570,479,532,591,689,753,485,794,892,844,937,454,571,690,647,610,444,571,518,622,679,638,736,825,914,1006,395,444,597,541,492,1263,1532,10657,1472,1583,936,1147,1100,1051,1000
411,463,650,577,521,337,557,712,658,609,578,644,699,749,797,454,10568,10678,10625,10730,10536,10724,10664,706,10602,409,502,458,545,594,401,459,518,568,619,513,575,757,691,634,512,10688,687,628,729,468,897,850,786,512
453,514,691,629,570,277,557,750,684,624,525,574,618,673,727,411,688,772,731,819,695,856,821,772,736,511,644,579,703,772,428,478,523,569,622,479,537,711,652,596,538,721,10711,661,770,589,926,853,771,668
403,471,631,574,523,410,465,622,565,514,492,548,613,675,739,531,10675,10793,10728,10859,10487,10581,10538,497,10671,266,498,453,542,589,391,465,640,706,776,413,470,616,561,516,559,10684,728,674,768,399,651,588,524,467
457,508,646,597,553,245,504,682,624,565,504,572,631,683,739,490,793,895,846,944,539,707,669,625,748,273,534,483,584,637,712,767,820,872,929,765,830,1012,947,890,541,687,11291,731,786,485,2027,1973,1922,1860
484,536,680,629,584,1181,1362,1535,1472,1422,532,786,851,937,1021,976,10812,10911,10864,10955,10540,10781,10724,386,10607,1589,1698,1644,1749,1801,323,490,535,578,626,452,527,674,622,578,948,10624,1140,1073,1190,404,725,675,630,581
400,682,875,813,756,382,560,721,663,612,468,525,569,614,675,553,811,898,854,939,760,899,858,577,811,439,536,494,577,625,300,538,599,659,719,403,455,620,561,507,357,722,10585,664,765,409,586,541,501,460
517,569,731,676,625,637,706,876,824,766,1269,1350,1410,1462,1513,591,10897,11201,11143,11260,10935,11073,11006,361,11177,443,547,497,595,649,243,468,514,558,606,1147,1204,1342,1299,1251,438,10559,619,555,1725,2574,2781,2736,2683,2633
1029,1092,1264,1204,1150,1455,1653,1703,1599,1548,2299,2357,2407,2459,2519,371,633,908,860,953,823,1023,976,923,1072,537,652,598,709,778,765,828,888,945,1010,601,712,966,884,799,412,578,10784,519,623,330,666,611,560,506
808,861,1053,995,913,495,552,720,660,604,413,472,527,580,640,384,10712,10908,10845,10967,10697,10807,10911,435,11002,537,843,762,693,621,481,543,707,756,807,257,626,807,741,691,509,10557,756,806,862,292,759,698,644,581
791,846,978,937,894,818,909,1143,1088,1002,426,479,528,574,625,550,696,990,944,1033,869,966,1058,773,1015,511,660,594,728,802,388,437,482,526,575,391,442,584,532,486,412,569,10915,518,611,214,554,505,461,415
1959,2011,2159,2112,2056,515,570,721,667,620,586,772,861,948,682,510,10541,10644,10592,10703,11160,11399,11343,662,11229,1566,1700,1632,1759,1811,469,523,569,614,670,450,511,684,622,567,768,10538,924,872,963,434,677,613,559,495
472,526,682,633,579,507,578,751,687,633,624,798,875,958,715,391,661,748,704,787,1363,1497,1453,1194,1408,443,538,493,583,634,227,432,477,521,570,665,715,858,807,762,261,540,10615,494,577,390,614,559,509,458
529,591,758,700,650,572,640,831,764,703,102180,102248,102301,102351,102419,418,109028,109076,109179,109266,11736,11979,11920,429,11801,452,580,518,657,727,104245,104492,104585,104636,104905,101395,101471,101653,101593,101531,463,106856,618,566,658,103438,103682,103625,103570,103519
99241,99308,99441,99398,99355,99052,99144,99351,99279,99212,93166,93230,93286,93343,93406,98854,99040,99131,99227,99265,1803,1955,1910,1618,1853,97572,97704,97645,97759,97815,94591,94762,105065,105147,94873,92169,92235,92453,92397,92342,96657,96885,96983,96825,97573,94030,94289,94228,94159,94099
