Client_0,Client_1,Client_2,Client_3,Client_4
740,1120,1192,1263,1343
10709,10758,10802,10845,10886
954,998,1039,1080,1122
10714,10829,10866,10945,10978
868,897,941,969,996
10776,10994,11067,11133,11199
1168,1227,1284,1346,1402
10521,10556,10585,10761,10796
556,585,613,714,744
10506,10548,10581,10615,10789
572,601,629,657,722
10801,10871,10930,10988,11045
1164,1214,1257,1301,1345
10621,10662,10697,10730,10901
645,673,700,727,793
10540,10608,10670,10730,10794
764,808,851,900,951
10683,10737,10786,10837,10886
810,854,897,940,983
10475,10518,10561,10864,10931
621,674,719,904,963
10546,10610,10678,10747,11065
773,825,875,924,1044
10559,10599,10636,10865,10916
628,666,701,855,903
10528,10578,10633,10687,10745
736,789,831,879,927
10602,10930,10992,11053,11114
739,1047,1104,1159,1214
10669,10724,10784,10848,10918
897,948,997,1045,1092
10745,10807,10862,10927,10992
969,1027,1082,1138,1194
10603,10649,10692,10745,11019
696,745,791,833,928
10629,10670,10714,10756,11027
730,778,824,866,960
10512,10572,10620,10666,10711
627,675,720,761,806
10629,10670,10705,10739,10915
706,736,764,792,859
10520,10853,10923,10991,11055
692,1024,1080,1136,1194
10566,10631,10687,10741,10797
744,793,841,888,939
10665,10718,10767,10814,10861
783,814,841,869,897
10634,10673,10708,10742,10916
664,694,722,750,815
10557,10620,10854,10920,10985
645,700,955,1010,1065
10671,10714,10759,10802,11054
700,749,795,841,936
10614,10685,10753,10821,11109
803,853,899,946,1050
10639,10696,10750,10803,11089
774,822,867,922,1021
10472,10538,10598,10902,10962
650,715,764,937,988
10808,10863,10910,10957,11004
1104,1150,1195,1240,1289
10512,10728,10781,10836,10889
588,846,896,943,986
10568,10754,10823,10891,10959
588,920,966,995,1024
10519,10579,10635,10683,10901
642,684,726,765,873
10560,10606,10649,10916,10964
660,708,754,895,939
10581,10623,10656,10826,10858
609,640,668,766,805
10504,10559,10616,10675,10733
692,741,793,843,889
10667,10719,10768,10816,11061
765,809,855,893,976
10520,10568,10611,10652,10705
661,708,754,796,845
10616,10692,10778,10851,10924
909,958,1002,1046,1092
10527,10573,10610,10647,10681
606,635,664,693,721
11101,11193,11284,11360,11430
1404,1458,1509,1560,1610
10603,10657,10705,10926,10978
669,698,742,880,910
10549,10648,10734,10818,11156
881,926,972,1016,1141
10674,10729,10782,10826,11074
750,779,823,870,985
10570,10637,10692,10745,11025
740,784,835,886,999
10454,10517,10576,10640,10934
637,689,737,785,902
10989,11050,11106,11162,11216
1170,1214,1256,1298,1340
10530,10598,10647,10884,10933
645,693,722,870,919
10532,10597,10660,10718,11027
726,778,828,877,994
10497,10558,10617,10858,10915
639,669,713,885,937
10966,11047,11120,11194,11266
1223,1267,1313,1357,1402
10670,10731,10781,10835,10881
843,894,941,987,1035
10751,10803,10854,10913,10969
896,940,982,1024,1072
10746,10800,10847,10905,10964
873,916,958,999,1040
10664,10723,10775,10825,10874
828,873,931,972,1012
10585,10651,10702,10966,11017
723,768,811,964,1005
10576,10639,10723,10796,11049
747,792,835,879,1003
10632,10691,10738,10972,11028
715,753,800,964,1007
10601,10643,10678,10849,10883
601,630,659,758,786
10518,10663,10724,10781,10838
501,800,853,901,948
10477,10515,10754,10802,10850
571,623,819,867,912
10979,11049,11112,11174,11245
1223,1286,1352,1408,1466
10708,10775,10835,10895,10953
874,926,981,1016,1051
10729,10840,10900,10959,11018
959,1013,1065,1117,1170
10691,10781,10866,10943,11304
917,986,1055,1122,1271
10682,10747,10822,10900,10984
935,993,1050,1106,1161
10534,10582,10764,10811,10857
559,602,814,879,941
10831,10915,10990,11066,11139
1085,1146,1204,1262,1327
11067,11140,11204,11269,11329
1405,1493,1564,1644,1717
10761,10840,10911,11250,11332
881,929,996,1236,1306
10868,10943,11011,11081,11151
1316,1392,1470,1547,1623
10735,10815,10891,10965,11043
1030,1100,1168,1236,1303
10722,10790,10863,10943,11025
1002,1068,1132,1195,1259
11354,11442,11524,11609,11691
1664,1733,1802,1874,1940
10805,10906,10988,11073,11157
1136,1208,1279,1351,1424
11043,11134,11214,11294,11373
1548,1628,1717,1795,1872
10884,10956,11020,11084,11149
1277,1344,1407,1469,1549
10670,10731,10961,11006,11051
730,770,947,987,1025
10685,10760,11110,11159,11205
838,900,1110,1150,1188
10789,10890,10945,10994,11200
921,961,1000,1038,1127
11520,11763,11985,12150,13287
2388,2564,2758,2940,3328
13123,13321,13510,13668,13826
4350,4629,4890,5147,5451
11415,11944,12161,12374,12583
1608,2661,2848,3036,3224
11390,11560,12337,12560,12806
1776,1964,2845,3004,3205
11498,11708,11908,12102,12286
2321,2481,2635,2808,2966
11254,11414,11576,11707,12279
1664,1773,1879,1988,2232
10834,10941,11378,11469,11562
1079,1167,1522,1590,1657
11353,11458,11541,11625,11714
1676,1754,1831,1914,1984
10884,10982,11079,11168,11260
1208,1277,1343,1409,1478
10663,10761,11179,11323,11400
907,968,1373,1438,1499
10514,10668,10727,10778,10828
510,777,823,867,912
10507,10551,10842,10902,10969
626,689,943,995,1049
10960,11036,11102,11165,11235
1202,1249,1294,1342,1388
10540,10614,10672,10721,10961
678,723,768,815,921
10559,10663,10746,10800,10884
853,920,971,1023,1075
10440,10485,10522,10671,10705
496,525,554,653,682
10721,10797,10862,10932,10998
959,1014,1051,1097,1128
10622,10664,10698,10732,10906
654,682,712,740,805
10756,10829,10896,10963,11027
1002,1058,1112,1165,1220
10630,10697,10749,10946,10985
709,743,775,897,937
10616,10696,10765,10833,10903
881,919,955,1013,1051
10658,10734,11055,11146,11227
778,855,1182,1239,1301
11040,11123,11196,11267,11339
1313,1377,1439,1502,1565
10629,10927,10985,11059,11131
750,1084,1153,1223,1289
11010,11098,11179,11257,11335
1522,1604,1674,1738,1801
10781,10853,10918,10982,11045
999,1056,1112,1168,1224
10718,10771,10818,11055,11101
784,824,866,1002,1041
10761,10859,10961,11042,11495
1003,1072,1140,1302,1459
10675,10738,10789,10839,11069
787,827,865,926,1020
11095,11180,11251,11320,11389
1368,1442,1501,1562,1643
10676,10729,10778,10826,11063
755,795,834,872,962
10705,10944,11018,11088,11156
744,1097,1154,1211,1267
10883,10959,11037,11120,11198
1153,1225,1287,1346,1406
10694,10783,10862,10947,11351
975,1035,1104,1174,1334
11084,11222,11352,11483,11608
1623,1740,1851,1966,2080
10733,10811,10892,11297,11371
951,1017,1082,1305,1368
10747,10851,10950,11283,11417
945,1022,1097,1400,1462
11027,11156,11270,11390,11530
1505,1587,1658,1740,1814
10603,10822,10867,10922,10996
666,961,1028,1092,1157
10692,10777,10881,10970,11059
1032,1100,1162,1228,1289
10822,10883,10934,10984,11035
969,1014,1057,1101,1145
10915,10986,11045,11102,11170
1209,1265,1315,1366,1416
10793,10849,10909,10958,11005
959,1001,1041,1082,1123
10606,10672,10743,10805,10865
796,847,900,951,1002
10564,10649,10754,10848,10929
895,953,1180,1246,1317
10548,10603,10652,10700,10748
695,737,778,819,860
10757,10815,10867,10919,10972
1073,1124,1173,1223,1273
10549,10590,10623,10658,10829
567,595,623,650,713
11054,11724,11842,11959,12073
1473,2061,2162,2259,2401
11727,11950,12167,12365,12559
2571,2745,2918,3108,3258
11505,12065,12298,12510,12714
1717,2775,2938,3113,3274
11788,11991,12171,12341,12553
2478,2576,2671,2766,2859
11708,11959,12209,12439,12620
2601,2786,2972,3161,3314
11558,11806,12022,12230,13205
2338,2485,2623,2786,3190
11802,12048,12290,12508,13342
2528,2708,2853,2991,3325
11627,11754,11870,11987,12096
2380,2503,2613,2724,2830
10795,10895,10992,11083,11163
1134,1204,1274,1353,1420
11165,11272,11379,11480,11560
1523,1594,1665,1733,1801
10607,10651,10688,10727,10926
684,718,751,781,857
10589,10661,10728,10791,11070
759,813,866,920,1040
10587,10632,10672,10711,10910
646,678,711,743,817
10501,10696,10746,10823,10892
554,870,927,982,1039
10877,10936,10990,11041,11095
1201,1254,1308,1358,1407
10656,10702,10741,10934,10971
681,715,748,857,887
10635,10710,10776,10840,10903
874,927,979,1031,1083
10758,10824,10884,10943,11003
919,972,1023,1074,1124
10734,10800,10861,11185,11245
864,920,974,1155,1209
10716,10814,10901,10981,11316
952,1020,1077,1138,1275
10566,10624,10669,10886,10928
664,702,738,863,899
10906,11002,11085,11164,11253
1251,1327,1399,1467,1538
10685,10753,10823,10893,10966
948,1026,1086,1142,1201
10755,10832,10934,11007,11085
1028,1088,1155,1214,1269
10864,10933,10994,11052,11110
1240,1300,1358,1415,1472
10908,10974,11037,11096,11156
1276,1337,1395,1459,1517
10696,10755,10822,11160,11222
846,906,964,1155,1218
10607,10657,10701,10917,10960
