Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4
1681,1850,2726,2916,3090,1555,2311,1853,2434,2551,632,733,883,812,964,1309,2442,1925,1685,2182,546,762,693,622,850
934,1516,1855,1335,1687,11095,11451,11589,11713,11832,603,701,861,783,947,1284,1853,1707,1577,1436,601,973,882,811,1063
890,1370,1686,1847,1518,1177,1803,1904,2008,2106,568,642,774,708,846,1093,1597,1462,1346,1225,334,610,450,393,677
1168,1803,1444,1642,1983,11505,11692,11842,11976,12117,519,586,707,642,774,1310,1903,1752,1616,1476,323,693,641,586,767
1425,1575,1699,1837,1968,2143,2270,2385,2519,2646,426,476,653,587,704,1342,1996,1840,1687,1517,333,701,649,593,758
1186,1323,1443,1568,1874,11437,11590,11735,11865,12005,434,483,572,528,621,1488,2013,1867,1737,1618,492,676,619,560,741
1513,1690,1881,2040,2216,1989,2111,2234,2366,2523,554,602,688,646,737,1245,2196,2042,1775,1536,460,609,560,510,663
1256,1394,1521,1645,1791,11138,11260,11375,11481,11581,511,574,688,632,752,1052,1175,1295,1536,1415,458,668,566,513,732
653,747,832,915,1011,1555,1657,1757,1852,1950,481,540,651,593,714,685,998,916,841,768,239,543,492,445,603
495,776,862,689,939,10668,10738,10806,10870,10934,491,548,652,596,706,712,1054,966,880,798,384,590,514,451,654
613,687,754,823,908,902,964,1020,1075,1130,453,517,626,576,680,612,932,841,769,693,560,731,687,629,774
532,597,655,711,776,10486,10525,10558,10606,10654,282,494,575,536,619,561,832,759,699,637,291,588,544,499,638
432,488,537,582,633,620,666,715,760,806,586,637,734,688,797,473,662,613,567,523,437,592,543,493,647
804,865,923,980,1039,10533,10593,10646,10698,10751,433,491,590,539,643,668,905,850,792,732,506,672,619,566,734
483,532,578,621,673,721,766,811,854,897,515,573,675,624,732,468,663,773,716,621,505,671,621,568,728
402,654,712,765,825,10473,10523,10570,10622,10674,496,694,797,744,854,602,831,773,725,676,471,736,686,621,780
752,1018,1078,1134,1199,641,685,723,758,793,670,726,825,777,878,536,775,715,661,604,451,613,561,505,682
463,514,559,600,649,10472,10727,10557,10602,10644,467,528,638,585,706,533,754,696,643,591,477,622,576,532,675
475,532,578,623,676,600,789,679,715,751,447,573,693,634,758,512,764,699,639,578,320,724,670,610,772
292,505,567,627,690,10445,10499,10559,10665,10725,561,621,731,677,785,441,651,597,548,498,623,897,813,723,984
548,602,650,699,752,706,747,785,821,858,429,598,717,660,768,411,871,815,741,677,611,859,778,698,947
344,563,619,672,733,10455,10505,10551,10596,10640,453,512,619,565,690,497,747,677,617,556,402,556,503,448,615
719,779,830,879,926,602,648,684,717,754,430,645,750,700,804,474,704,648,594,539,546,776,702,628,850
