Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
444,487,537,585,634,13187,13355,13517,13728,14859
2098,2305,2487,2664,2842,3974,4162,4341,4521,4936
1665,1872,2050,2212,2374,12381,12556,14048,14233,14426
1554,1750,2743,2939,3127,3319,3474,4229,4376,4545
1468,1680,1874,2077,2290,12888,13069,13973,14162,14455
1745,1974,2167,2345,2527,3505,3657,4548,4707,4844
3018,3209,3356,3525,3705,13696,13944,14168,14377,14588
2425,2662,2876,3085,3299,4657,4838,5023,5201,5381
1738,1942,2124,2384,2606,12832,13011,13805,13948,14097
1670,1889,2089,2276,2462,3393,3507,4071,4196,4299
1313,1459,1582,1708,1828,11727,11831,11932,12445,12549
1066,1181,1284,1386,1479,2053,2136,2215,2518,2582
1336,1424,1501,1576,1651,11553,11612,11671,11729,11786
1125,1194,1252,1313,1371,1728,1781,1828,1877,1924
633,714,775,834,896,11076,11120,11172,11218,11275
491,792,575,855,905,1220,1270,1314,1359,1402
343,704,758,815,872,11505,11566,11615,11667,11716
1114,1177,1228,1278,1327,1677,1722,1765,1806,1850
581,653,715,783,1008,11209,11261,11314,11367,11420
775,873,927,975,1023,1344,1390,1434,1480,1524
797,933,1016,1071,1160,10896,10951,10994,11037,11076
1271,1328,1379,1428,1477,1526,1570,1609,1651,1687
576,639,691,733,784,10858,10913,11288,11340,11391
573,639,701,991,1045,1098,1141,1348,1388,1430
530,577,618,829,884,10909,10959,11010,11268,11316
554,611,673,727,772,1052,1095,1137,1286,1328
983,1049,1100,1151,1201,11128,11179,11226,11279,11338
764,823,879,932,980,1291,1332,1374,1418,1464
687,742,794,844,896,11173,11223,11272,11535,11585
750,807,858,908,965,1263,1304,1341,1490,1530
652,718,777,830,880,11732,11801,11848,11892,11937
1297,1382,1451,1512,1564,1895,1935,1972,2006,2045
990,1054,1111,1166,1221,10780,10829,11175,11223,11272
483,549,601,861,911,961,1004,1199,1243,1285
493,536,576,625,827,10980,11031,11081,11358,11445
629,687,740,790,841,1141,1184,1225,1427,1472
961,1047,1124,1201,1278,11057,11113,11167,11446,11498
695,752,804,854,905,1217,1264,1306,1461,1505
463,718,755,803,846,11009,11060,11110,11373,11422
702,757,808,859,908,1203,1244,1283,1431,1472
565,627,682,734,785,10998,11056,11112,11161,11210
1410,1470,1538,1602,1660,1720,1763,1806,1849,1890
602,642,676,709,742,10956,10994,11028,11063,11241
601,645,692,741,791,1022,1050,1077,1105,1174
798,846,908,970,1026,11142,11227,11304,11379,11453
501,846,620,912,977,1442,1497,1551,1613,1676
1390,1490,1579,1656,1740,12032,12115,12202,12286,12372
1457,1559,1644,1729,1815,2333,2399,2457,2513,2576
841,929,1025,1073,1117,11258,11305,11351,11623,11669
848,912,964,1025,1093,1390,1433,1471,1611,1649
633,1271,798,884,972,11143,11236,11871,11958,12036
762,849,942,1419,1515,1609,1687,2026,2094,2159
752,848,934,1019,1097,11319,11387,11453,11522,11879
840,926,997,1066,1136,1539,1599,1656,1712,1846
814,888,957,1021,1086,12122,12199,12286,12368,12452
1609,1709,1798,1869,1942,2432,2495,2564,2632,2695
1375,1471,1553,1636,1713,11366,11436,11509,11582,11666
587,1016,1077,758,1158,1621,1690,1753,1819,1901
664,1224,810,903,1289,11694,11790,11873,11945,12014
684,1279,840,1377,1467,1957,2020,2081,2142,2202
1121,1213,1299,1514,1605,11397,11492,11582,11659,11736
2012,2101,2172,2243,2313,2386,2451,2511,2569,2646
776,872,1162,1249,1329,11323,11377,11425,11474,11521
585,981,1057,711,1128,1481,1550,1613,1677,1738
1305,1395,1473,1549,1629,11765,11849,11929,12006,12087
1207,1298,1389,1471,1556,2056,2120,2180,2239,2297
