Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4
1132,1201,1440,1312,1379,423,728,932,863,800,261,730,777,820,861,464,10674,515,641,576,232,606,551,502,451,446,499,548,597,652,2849,11020,2936,3010,3079,1048,1226,1462,1553,1638,229,608,553,503,452,220,611,553,497,441
1408,1515,1854,1703,1608,623,726,949,883,812,705,11846,12031,12330,12639,513,657,710,843,783,596,896,816,739,673,551,626,703,774,851,850,1304,992,1052,1121,431,551,604,656,741,476,762,686,619,550,501,759,694,638,565
507,588,816,741,665,819,889,1091,1018,954,621,1856,2146,2428,2708,454,12649,559,605,506,3525,3808,3742,3668,3596,1647,1700,1746,1792,1841,1096,10728,1297,1361,1420,1518,1571,1624,1673,1726,259,3563,619,567,510,1949,2194,2120,2066,2010
645,738,822,902,983,5886,5967,6142,6091,6027,1894,11802,11661,11436,11253,2064,2651,2519,2587,2382,4243,4598,4799,4530,4457,1055,1176,1242,1307,1378,569,737,679,783,834,384,564,627,687,750,1917,2118,2052,1985,4726,3544,3887,3774,3704,3618
444,512,695,632,572,600,668,872,805,733,951,1831,1920,1973,2025,543,11239,614,762,686,357,787,719,657,594,945,1085,1165,1284,1426,516,10574,589,650,712,463,521,572,629,697,457,721,649,589,525,466,776,691,603,537
292,539,718,655,599,1030,1366,1305,1244,1180,898,10859,10950,11038,10753,699,1231,1020,922,809,1131,1711,1599,1488,1369,881,969,1031,1080,1126,434,654,582,694,740,1565,1618,1664,1716,1760,990,1317,1257,1188,1094,1490,1766,1841,1635,1573
448,508,678,618,563,7380,7450,7630,7572,7512,412,1104,1182,1259,1021,817,13080,928,1151,1032,708,814,1004,1390,1184,3620,3691,3752,3826,3885,532,10659,588,636,695,428,491,548,600,658,6056,6296,6234,6181,6122,1537,1889,1753,1675,1611
420,474,645,579,529,3370,3435,3644,3574,3499,512,11052,11115,11186,11260,2734,3225,3032,3135,2873,779,1198,1120,1333,1274,1002,1067,1114,1164,1214,507,673,615,718,769,445,505,556,612,677,1403,1710,1477,1611,1549,1447,1569,1794,1734,1670
335,543,683,633,591,531,595,783,721,659,584,951,1015,1089,1140,1274,10971,1330,1426,1376,1533,1803,1743,1670,1605,523,583,675,736,801,604,10824,671,773,839,221,421,468,522,579,931,1381,1296,1173,991,1248,1523,1446,1378,1313
422,485,670,603,545,940,1556,1846,1781,1680,4403,12933,12766,12598,12429,447,604,553,705,651,625,930,751,853,805,2074,2280,2364,2430,2490,676,854,795,901,956,430,484,538,590,652,466,700,646,581,526,602,1193,1088,794,707
