Client_0,Client_1,Client_2,Client_3,Client_4
1775,2042,1919,2162,2295
1649,1989,1786,2182,2371
610,1193,1107,1276,1365
868,1126,1013,1240,1351
841,994,921,1088,1190
479,862,774,984,1071
537,678,630,731,819
598,705,656,753,807
516,634,579,688,747
488,585,540,630,679
407,655,607,698,769
736,887,814,958,1026
537,651,598,689,728
533,641,591,693,750
486,663,543,613,704
422,658,604,549,700
792,957,877,1023,1101
432,656,498,600,707
452,655,510,599,706
786,957,879,1009,1054
293,541,491,585,636
488,708,551,759,858
539,635,590,686,743
450,520,488,551,587
674,800,742,857,913
512,623,569,674,732
565,668,617,719,775
513,627,573,677,731
400,756,706,802,844
465,599,505,561,631
525,626,581,667,709
628,736,686,782,827
528,614,574,665,720
492,720,670,835,775
616,718,671,836,888
386,534,425,481,584
479,644,517,578,611
734,866,804,927,987
507,602,557,645,696
482,551,519,581,615
548,651,601,707,764
525,611,566,666,702
513,629,574,726,801
677,790,738,841,898
389,569,434,524,619
515,624,572,675,732
539,646,595,697,754
689,797,749,842,887
461,628,500,563,595
479,549,516,580,614
318,653,599,709,757
651,777,720,833,884
445,611,483,543,574
506,614,562,664,720
522,592,560,624,662
400,604,452,545,660
423,493,461,533,591
523,937,586,1000,1053
509,604,559,649,699
487,558,526,590,626
529,753,694,805,857
828,950,896,1004,1055
311,608,555,659,716
517,625,574,676,733
432,628,578,472,525
663,791,728,848,908
692,808,752,859,910
584,687,635,738,795
517,586,555,616,651
419,533,478,579,617
737,866,807,924,983
379,634,587,679,729
562,648,607,686,743
481,642,517,574,608
462,582,523,638,703
499,673,549,722,765
483,583,542,633,690
415,529,476,578,622
457,552,508,597,647
414,487,452,517,545
665,789,731,846,903
457,689,558,592,635
558,664,612,717,774
631,736,688,784,832
651,766,713,819,870
466,542,503,572,605
412,483,451,514,549
448,575,485,540,607
689,810,756,862,912
668,789,734,843,894
486,603,548,657,715
592,707,653,759,817
713,820,772,870,915
486,560,524,591,636
471,584,531,662,720
527,637,581,690,750
460,558,514,601,649
625,752,693,812,880
559,668,617,720,778
486,698,647,600,748
438,684,634,575,734
601,707,658,756,803
675,788,734,839,886
505,573,541,602,637
474,665,613,568,716
272,463,422,503,560
630,736,687,783,830
675,790,738,840,891
479,643,546,578,609
535,608,575,643,673
481,589,539,636,692
627,732,684,780,830
678,801,745,858,911
477,561,521,610,665
441,548,497,598,653
488,603,542,650,708
647,763,709,818,868
501,598,553,643,696
584,656,624,687,721
566,650,605,696,755
273,476,443,526,571
591,717,657,773,831
717,850,787,909,967
496,607,556,668,721
1306,1874,1757,1621,1989
1696,2045,1912,2161,2362
1098,1672,1544,1920,1792
2466,2868,2674,3027,3389
1970,2469,2212,2683,2916
2400,2894,2655,3161,3439
2208,2778,2507,3058,3351
2114,2575,2356,2791,3039
1610,1970,1810,2129,2301
1408,1810,1612,2020,2250
1827,2207,2019,2402,2610
1291,1523,1417,1628,1745
1089,1580,1471,1802,1686
1080,1342,1218,1464,1601
883,1125,1011,1229,1352
979,1143,1065,1214,1291
501,643,577,710,785
729,853,796,909,964
862,1050,969,1127,1208
543,830,771,704,889
603,769,651,723,813
365,721,651,767,815
684,958,763,1040,1122
641,768,710,825,892
674,815,747,880,954
599,760,686,836,915
743,898,825,966,1046
643,814,727,904,981
415,664,609,730,802
470,685,519,599,640
557,682,622,740,806
501,769,715,653,837
639,921,722,1005,1082
554,647,603,688,734
473,642,521,596,682
465,633,514,586,672
503,725,552,636,680
626,886,703,958,1022
615,766,692,835,916
642,792,723,860,923
492,762,719,664,826
502,748,619,664,704
610,757,688,824,897
670,802,740,862,928
477,785,706,622,847
560,729,609,682,770
608,747,681,811,883
888,1030,967,1095,1158
