Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
3079,3369,3629,3880,4122,4406,4664,4912,5165,5449
3349,3578,3804,4016,4247,4462,4660,4850,5029,5249
1830,2035,2225,2409,2596,2786,2976,3693,3905,4167
2010,2200,2388,2557,2719,2903,3073,3256,3605,3819
1313,1480,1632,1779,2509,2674,2850,2996,3138,3317
1982,2136,2287,2421,2556,3075,3247,3397,3576,3726
1633,1827,2016,2198,2353,3031,3226,3383,3535,3684
1484,1621,1758,1883,2007,2131,2255,2577,2703,2850
1037,1153,1253,1354,1472,1874,1974,2075,2185,2314
1473,1563,1635,1710,1785,1860,1939,2014,2086,2158
528,602,1055,1127,1195,1260,1333,1403,1472,1555
581,622,657,691,724,760,795,828,896,938
592,646,706,758,810,979,1031,1201,1256,1308
945,1020,1089,1155,1222,1288,1355,1422,1487,1559
505,557,601,657,931,988,1045,1101,1156,1223
582,631,675,730,787,844,899,1050,1110,1181
1755,1967,2115,2263,2426,2587,2755,2886,3011,3207
1331,1466,2210,2330,2445,2559,2671,2783,2893,3031
7472,7709,7917,8126,8356,8573,8783,8989,9186,9434
3766,4497,5286,6067,6853,7651,8633,9594,10020,10635
2396,2596,2788,2989,3173,3361,3558,3757,3936,4367
3478,3829,4613,5418,6222,7029,7539,8364,8949,9200
3898,4152,4381,4590,4844,5046,5279,5447,5637,5820
2654,2881,3067,3240,3410,3582,3745,3922,4109,4323
1981,2152,2308,2469,2624,2782,2937,3091,3393,3585
1973,2194,2433,2656,2861,3096,3913,4120,4331,4575
1846,2017,2161,2284,2403,2520,2636,2971,3092,3243
699,772,1301,1404,1512,1612,1705,2022,2125,2227
1981,2104,2221,2330,2436,2539,2648,2749,2857,2964
1959,2081,2196,2309,2421,2535,2642,2747,2861,2970
1008,1108,1197,1284,1375,1469,1756,1838,1916,2013
799,877,950,1018,1086,1153,1222,1429,1510,1595
685,1169,1250,1329,1408,1499,1589,1692,1783,1890
1496,1588,1669,1747,1829,1914,1998,2082,2177,2267
1547,1648,1731,1814,1897,1981,2065,2146,2233,2319
698,790,887,1427,1529,1610,1688,1774,1873,1991
768,875,967,1060,1147,1554,1647,1733,1826,1937
1482,1589,1690,1783,1880,1972,2067,2162,2252,2342
1463,1545,1619,1702,1789,1871,1954,2039,2121,2204
792,870,934,996,1060,1124,1186,1370,1435,1511
526,570,806,844,891,949,1006,1063,1120,1189
599,667,731,793,858,924,1140,1196,1249,1313
775,842,902,958,1016,1072,1130,1284,1342,1417
718,788,852,914,976,1035,1094,1262,1329,1407
532,575,611,645,824,860,894,929,962,1005
842,909,971,1030,1089,1149,1213,1276,1402,1479
849,910,969,1027,1081,1136,1192,1247,1314,1371
858,922,979,1036,1093,1149,1208,1265,1322,1379
649,711,769,825,881,936,991,1140,1196,1264
1040,1111,1174,1235,1294,1352,1410,1472,1536,1596
606,663,716,767,818,869,1056,1109,1160,1228
464,505,541,748,784,818,853,889,925,968
780,854,923,1347,1421,1490,1559,1627,1695,1763
743,820,893,972,1043,1118,1187,1380,1452,1541
541,605,664,1004,1063,1121,1177,1234,1291,1347
829,905,970,1034,1097,1159,1215,1267,1328,1388
507,549,594,839,997,1050,1089,1134,1170,1205
1182,1251,1312,1372,1431,1490,1550,1607,1667,1725
1100,1202,1274,1327,1380,1431,1485,1561,1618,1681
654,710,765,814,862,910,958,1095,1146,1206
547,606,656,706,755,970,1023,1073,1121,1182
868,935,993,1048,1101,1154,1209,1262,1315,1382
640,875,951,1021,1093,1162,1450,1521,1588,1666
1293,1417,1531,1653,1776,2012,2136,2259,2380,2497
523,566,778,816,851,887,922,957,991,1034
637,681,719,755,790,826,861,958,994,1037
1261,1374,1482,1586,1692,1795,1906,2011,2114,2211
614,686,752,816,878,941,1187,1250,1310,1383
799,864,924,983,1042,1100,1159,1335,1397,1468
516,586,644,957,1017,1075,1139,1203,1268,1343
764,837,903,966,1031,1104,1168,1342,1406,1483
758,844,919,991,1061,1129,1169,1268,1303,1346
550,593,629,665,841,878,913,948,983,1026
591,648,701,752,1101,1161,1215,1267,1320,1372
1286,1359,1428,1495,1564,1624,1682,1739,1809,1888
460,508,748,785,820,855,889,924,958,1001
573,638,707,770,1074,1128,1181,1240,1303,1390
530,580,794,839,897,953,1010,1067,1135,1192
1056,2062,2258,2424,2588,2764,2941,3111,3300,3520
1537,1771,2016,2258,2502,2740,2961,3644,3832,4018
3168,3397,3635,3847,4062,4294,4468,4649,4823,5003
3387,3645,3873,4104,4332,4557,4793,5019,5200,5385
1666,1852,2025,2204,2369,2538,3105,3274,3435,3643
1511,1677,1820,1960,2098,2249,2385,2877,3062,3219
1518,1891,2033,2261,2415,2527,2690,2861,3034,3180
1916,2108,2294,2463,2666,2856,3019,3194,3366,3577
1817,1961,2120,2276,2432,2588,2742,2897,3052,3240
1659,1830,1976,2120,2268,2461,2623,3048,3201,3385
2553,2762,2941,3126,3311,3494,3696,3884,4077,4356
1662,1850,2050,2232,2409,2582,3518,3717,3905,4090
2716,2971,3217,3465,3713,3977,4221,4464,4711,4951
1350,1468,1585,1742,1868,1992,2117,2488,2628,2788
1173,1277,1374,1482,1601,1702,1807,1904,2005,2239
1030,1113,1189,1265,1352,1429,1503,1590,1727,1811
786,858,921,985,1047,1109,1173,1332,1503,1565
590,653,725,769,1002,1048,1098,1173,1225,1288
527,563,591,621,800,830,891,920,949,985
661,713,764,814,877,928,972,1017,1060,1108
577,638,693,745,798,850,1032,1089,1142,1212
702,752,792,832,869,908,947,986,1026,1080
576,614,645,676,830,860,890,920,950,987
610,646,678,708,738,767,797,826,885,922
495,531,562,592,622,755,805,858,911,974
506,562,616,666,874,929,988,1050,1110,1179
479,538,589,868,919,967,1017,1066,1115,1175
538,580,619,897,946,995,1043,1092,1141,1200
489,532,774,825,873,922,970,1019,1067,1126
385,429,469,771,824,873,922,978,1032,1104
604,666,720,772,825,878,1060,1117,1169,1235
478,516,548,578,732,762,792,820,849,885
471,508,540,570,723,754,783,812,840,876
480,530,575,618,905,957,1008,1061,1112,1174
611,664,712,766,815,867,915,959,1050,1105
970,1036,1093,1149,1200,1256,1314,1372,1431,1487
628,680,729,785,840,892,945,1007,1112,1177
539,588,628,664,844,878,926,958,1005,1069
665,724,784,839,893,945,998,1045,1183,1244
519,557,606,652,697,743,790,926,980,1039
554,611,669,723,777,828,1004,1053,1100,1160
439,476,506,681,712,741,769,798,827,863
515,551,582,613,642,670,699,729,788,825
620,674,725,774,822,871,925,978,1032,1093
599,636,666,696,851,881,910,939,968,1004
928,1012,1071,1128,1178,1270,1318,1373,1512,1578
727,768,821,869,920,971,1003,1043,1079,1139
466,518,571,623,874,921,969,1023,1077,1142
534,590,639,691,852,886,917,947,976,1013
478,517,671,701,732,762,792,840,892,935
624,694,755,816,876,935,993,1138,1194,1260
463,499,531,560,713,745,776,807,836,873
542,599,651,697,742,955,1008,1057,1108,1174
687,773,844,915,983,1051,1130,1204,1418,1481
399,459,837,889,946,989,1034,1078,1126,1182
655,713,770,824,889,939,995,1049,1205,1273
1169,1252,1325,1396,1463,1528,1590,1656,1734,1808
1037,1118,1190,1261,1332,1386,1436,1487,1537,1719
756,811,861,911,959,1009,1057,1106,1155,1213
688,751,821,869,916,973,1018,1072,1175,1240
512,548,577,732,763,803,842,887,935,984
599,663,723,782,840,899,1103,1163,1218,1286
1054,1118,1170,1219,1267,1316,1365,1421,1479,1524
380,418,623,654,684,714,742,771,799,835
477,538,594,635,685,734,905,956,1030,1104
551,593,644,695,870,903,935,987,1043,1097
1012,1082,1146,1204,1268,1326,1388,1443,1499,1547
1054,1110,1157,1203,1255,1307,1358,1409,1456,1501
802,862,915,965,1018,1070,1123,1174,1285,1350
564,612,655,697,738,779,820,861,944,996
458,494,525,553,706,737,767,796,825,862
673,739,798,850,898,949,1001,1144,1197,1266
502,557,603,890,937,982,1026,1084,1116,1154
556,592,622,776,806,844,882,921,959,1018
661,718,773,838,894,957,1012,1072,1186,1253
1149,1326,2154,2314,2462,2675,2849,3001,3201,3408
1938,2131,2316,2496,2684,2865,3026,3184,3349,3547
2877,3065,3216,3362,3519,3666,3817,3963,4117,4307
1838,2017,2182,2348,2515,3451,3635,3798,3965,4183
