Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4
356,734,1066,1110,1151,599,1765,1611,1567,1712,573,650,773,713,833,726,770,812,854,897,565,492,625,700,760,735,919,991,1064,1125,258,622,568,516,465,624,886,825,761,697,313,653,600,554,507,677,555,493,730,613
471,546,10623,10676,10724,687,12158,12095,12035,12214,1439,1499,1871,1760,1999,10613,10664,10705,10757,10807,10735,2025,2097,2160,2245,530,590,652,716,786,805,1079,1006,939,871,655,905,843,786,728,1971,2206,2145,2092,2036,10656,1126,1054,1266,1192
452,678,727,768,809,1871,2288,2237,2185,2342,807,875,993,936,1055,717,757,796,834,873,811,745,864,924,991,521,589,668,730,788,1092,1378,1299,1225,1157,1111,1313,1260,1213,1164,466,686,633,577,526,835,697,628,893,765
499,579,10697,10747,10793,558,10895,10841,10794,10950,376,633,746,695,795,10448,10519,10578,10775,10823,10603,536,602,660,728,485,554,623,727,797,518,748,689,635,579,572,739,796,686,636,433,835,774,715,659,10566,554,491,678,615
478,534,736,778,820,635,1007,961,916,1052,527,588,708,649,774,543,595,639,781,824,731,551,611,668,783,630,696,763,828,900,537,793,739,676,609,754,937,999,885,823,431,692,614,554,497,745,608,543,802,669
518,588,10776,10670,10721,542,11109,11034,10962,11177,569,971,1094,1034,1146,10534,10596,10650,10704,10762,10501,886,957,1018,1080,483,549,605,667,735,668,772,993,1112,1200,1428,1729,1652,1582,1508,835,1209,1120,1065,1010,10498,592,530,717,650
467,795,840,709,750,785,1258,1202,1146,1314,589,655,803,742,861,751,800,845,887,936,506,559,612,672,719,406,473,535,596,664,495,714,660,605,552,499,733,681,628,560,336,786,723,662,600,632,518,464,683,573
465,539,12002,12059,12118,550,14047,13994,13938,14100,506,568,684,622,745,10679,10746,10814,10882,10950,10506,391,453,517,588,433,501,565,625,690,564,829,757,694,635,644,938,856,786,716,253,662,605,545,481,10534,474,419,585,528
1741,1818,2084,2136,2184,3260,3437,3385,3322,3489,788,852,967,908,1031,908,950,994,1037,1081,665,606,777,839,896,678,1082,985,887,788,367,565,1427,1357,1283,629,993,920,760,701,483,705,647,595,544,722,582,514,784,650
341,539,10707,10768,10588,469,10973,10640,10580,10789,586,645,749,699,802,10856,10914,10972,11039,11300,10808,589,685,861,920,458,525,587,647,715,501,770,710,648,580,581,1065,1000,940,874,506,798,676,617,737,10344,587,526,706,642
310,554,792,847,731,422,991,830,778,935,591,655,767,708,826,1006,1057,1101,1145,1254,865,786,919,982,1047,516,583,647,708,776,522,825,745,677,602,647,874,822,766,707,497,736,674,613,564,517,640,576,762,701
3601,3664,11484,11547,11611,1797,10691,10628,10570,10755,579,694,761,874,819,10828,10934,11033,11128,11217,10811,534,599,672,736,798,856,914,967,1024,674,871,824,770,725,394,877,807,748,671,698,930,869,812,753,10496,616,549,758,682
1271,1338,1578,1623,1671,409,822,773,723,875,536,594,705,653,752,1240,1328,1412,1498,1609,834,647,712,776,883,496,563,616,671,729,972,1242,1185,1132,1066,694,988,922,862,791,308,669,616,573,525,626,510,462,681,563
429,487,10645,10713,10773,412,10680,10625,10570,10734,537,608,724,662,777,10664,10738,10959,11033,11098,11227,594,652,699,745,452,515,574,633,699,445,695,623,561,509,318,746,699,648,590,256,747,672,536,477,10554,583,508,705,642
430,497,741,790,835,410,786,739,692,832,462,515,822,568,902,736,807,1080,1128,1172,926,758,812,867,973,483,540,592,650,707,502,734,662,606,556,541,821,749,678,612,511,774,707,645,580,724,589,519,771,655
409,933,10683,10749,10812,413,10731,10677,10620,10784,1300,2006,2149,2086,2214,10707,10761,10826,10894,10970,10512,1169,1237,1311,1373,591,653,719,783,845,596,911,837,764,698,520,789,724,653,589,333,712,658,609,558,10606,517,457,632,572
453,520,785,842,894,471,848,800,751,894,549,606,717,658,1169,936,996,1054,1122,1181,671,480,537,601,719,480,560,626,686,746,514,750,688,623,571,615,968,892,744,690,253,717,645,590,507,755,629,567,808,692
275,516,10687,10747,10804,579,10764,10697,10624,10830,525,604,768,690,823,10550,10613,10675,10726,10957,10759,505,568,628,693,535,613,685,757,835,706,835,1076,993,919,1226,1466,1405,1344,1295,457,724,656,587,524,10623,515,362,569,457
510,779,1042,1084,985,452,918,861,804,974,517,646,767,710,827,676,721,766,809,908,908,727,789,849,962,1014,1084,1149,1207,1267,509,760,684,627,571,565,889,840,774,628,449,711,642,579,516,632,801,734,928,863
421,493,11051,10965,10873,336,11057,10781,10716,10892,454,522,642,582,693,10584,10652,10720,10781,10841,10673,425,484,541,602,309,537,590,640,701,568,821,756,694,633,486,719,662,609,554,455,698,634,577,518,10525,447,385,553,500
624,1035,1440,1353,1261,544,1074,910,860,1019,614,685,824,754,883,816,872,922,974,1019,844,651,713,774,891,496,545,597,648,707,727,847,951,1097,1198,1291,2102,2039,1976,1349,519,775,710,649,588,673,562,507,718,614
578,721,12082,11986,11869,481,11194,11131,11067,11357,582,644,745,813,870,10990,11100,11197,11292,11375,10713,482,549,609,670,1031,1092,1146,1200,1256,716,847,977,1106,1202,1850,7092,2012,1960,1907,3926,4661,4584,4399,4511,10490,1754,1689,1868,1807
1625,2100,2528,2444,2352,897,1461,1402,1336,1512,884,967,1113,1042,1191,1372,1452,1567,1679,1791,735,681,786,843,899,461,534,597,652,708,740,845,969,1074,1193,1446,2253,2192,2130,1513,5266,6022,5951,5877,5813,599,500,450,644,548
