Client_0,Client_1,Client_2,Client_3,Client_4
1081,1308,1256,1200,1139
10789,11044,10984,10922,10858
982,1208,1153,1088,1036
10731,10999,10935,10870,10804
933,1077,1042,1007,972
10952,11175,11122,11071,11015
1313,1521,1470,1418,1368
10837,11141,11065,10992,10914
1069,1325,1259,1194,1132
10948,11192,11136,11077,11017
1329,1558,1502,1446,1388
10682,10851,10804,10979,10936
778,937,901,1013,978
10668,10855,10813,10769,10723
797,941,906,871,835
10797,11112,11039,10969,10884
1077,1326,1265,1203,1141
10757,10925,10880,11055,11012
860,1021,984,1097,1061
10790,11117,11037,10962,10875
1110,1383,1312,1243,1185
10877,11204,11117,11037,10967
1155,1414,1353,1288,1221
11032,11325,11260,11191,11123
1296,1524,1465,1411,1354
10675,10852,10806,10990,10944
788,961,924,1037,1002
10701,10765,11061,10976,10891
713,1040,1241,1179,1120
10584,10761,10708,10888,10847
698,857,820,934,899
11203,11496,11434,11367,11299
1464,1743,1674,1604,1542
10714,10884,10838,11013,10970
790,951,915,1027,992
11193,11497,11430,11366,11287
1465,1689,1633,1577,1523
10483,10680,10627,10842,10797
654,824,785,924,868
10549,10764,10714,10665,10615
723,894,852,810,766
10642,10808,10770,10727,10687
692,812,783,754,724
10702,10839,10808,10776,10740
763,867,842,817,791
10649,10793,10750,10713,10885
706,899,853,806,949
10637,10807,10754,10710,10913
760,944,902,859,995
10607,10849,10790,10735,10676
807,995,949,903,857
10883,11107,11054,10999,10947
1065,1260,1211,1161,1113
10752,10950,10905,10858,10809
882,1040,1000,962,923
10580,10745,10693,10639,10844
705,880,838,796,925
10681,10878,10831,10784,10736
830,1015,969,923,874
10426,10970,10907,10844,10779
622,1110,1052,998,943
10737,10945,10896,10845,10795
1113,1286,1247,1205,1161
10517,10674,10618,10838,10784
635,841,793,934,891
10850,11035,10992,10950,10906
1151,1330,1287,1245,1199
10617,10773,10727,10928,10880
700,890,840,978,937
10473,10631,10597,10767,10717
595,762,716,863,817
10569,10811,11126,11048,10967
783,1102,1304,1240,1174
10908,11196,11133,11069,11002
