Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4
860,1177,995,1497,1317,1542,1984,1788,2165,2371,1216,1395,1310,1485,1565,948,1069,1277,1178,1384,1467,1568,1657,1728,1809
2175,2450,2391,2512,2323,1694,2114,1911,2315,2523,3454,3534,3600,3660,3721,368,684,835,758,907,1879,2057,2468,2542,2616
463,683,576,826,753,1403,1845,1633,2046,2249,578,712,651,771,832,3709,3763,3854,3810,3905,637,694,744,792,846
505,623,567,733,677,1222,2344,2153,1729,1933,526,645,589,701,766,1470,1529,1641,1589,1696,3994,4559,4624,4675,4721
489,627,572,763,701,1039,1762,1595,1873,1978,543,638,592,687,750,241,446,538,493,588,542,608,667,714,773
431,572,509,676,626,2332,2996,2596,3172,2791,498,625,562,684,752,454,519,626,573,681,763,830,889,947,1008
411,511,464,613,563,1511,2439,2157,3010,2713,427,536,487,580,630,224,371,437,405,472,541,606,662,718,778
425,541,484,648,599,1677,2311,1991,2699,2959,456,568,513,628,695,431,496,613,556,672,742,805,857,906,954
374,464,423,553,512,583,1413,1257,1577,1724,478,571,528,613,661,239,443,553,499,616,520,585,644,697,777
395,485,447,561,519,3286,3681,3504,3796,3935,476,588,535,639,691,541,645,739,833,935,404,636,695,750,810
1099,1232,1162,1353,1287,692,1785,1670,1879,1963,956,1040,1118,1241,1369,591,682,769,855,941,1078,1330,1203,1395,1462
490,623,558,750,686,1066,1338,1261,1416,1159,305,561,513,614,679,269,490,594,545,650,342,591,654,701,753
848,959,901,1066,1014,452,567,511,623,684,523,636,584,692,750,478,547,669,610,736,442,689,746,794,839
391,486,438,576,534,2758,2867,2817,2926,2976,485,596,543,648,714,524,609,695,779,863,415,620,671,724,782
412,517,465,613,564,546,668,610,724,787,490,602,548,656,718,538,624,707,790,872,541,600,654,706,767
395,495,448,596,550,544,673,610,738,800,474,592,535,646,705,596,698,792,884,980,344,563,623,690,751
467,562,513,648,607,686,826,780,870,914,325,586,530,657,722,472,532,639,585,704,424,625,684,742,802
418,509,466,602,552,472,604,533,669,730,512,618,571,662,714,392,442,527,485,588,454,514,561,609,661
233,516,462,613,563,466,579,531,625,675,432,684,625,742,803,419,475,616,531,732,418,468,522,567,628
553,648,605,729,688,533,859,780,701,622,474,570,522,622,669,601,701,794,886,981,265,960,1021,1067,1116
757,878,822,989,933,602,950,867,782,695,666,761,852,938,1023,438,503,621,562,686,449,842,912,978,1040
417,530,473,645,584,412,514,464,571,675,582,711,646,772,827,251,520,646,584,703,389,443,485,529,572
238,524,472,634,576,598,818,762,869,693,563,672,621,729,795,241,435,533,484,591,459,524,580,636,696
422,520,474,618,565,417,524,474,573,628,382,634,568,687,753,216,416,507,462,561,498,563,621,679,745
456,582,522,709,642,629,1014,921,828,733,475,594,540,650,708,497,563,679,622,741,472,537,595,651,720
485,584,539,697,636,610,917,865,795,716,371,643,592,690,740,444,493,587,544,635,435,495,554,615,669
319,608,554,722,658,512,777,593,650,707,481,593,540,646,703,260,506,620,564,684,428,485,541,590,654
386,712,649,841,775,521,630,578,673,727,480,607,546,666,728,485,547,657,603,719,902,968,1162,1223,1396
550,642,597,737,687,460,570,521,618,671,539,667,605,723,784,389,519,619,572,677,492,544,591,634,683
219,445,401,535,487,623,1069,977,819,726,449,532,501,562,597,243,445,546,496,601,453,522,570,619,673
440,547,497,651,602,688,1139,1046,953,825,610,750,655,801,886,299,515,602,562,658,261,471,523,583,634
3882,4503,4321,4165,4006,481,699,542,638,754,3466,3735,4060,4182,4297,3107,3166,3353,3263,3438,4458,4529,4589,4640,4691
739,866,812,960,914,428,544,490,601,655,482,598,545,646,701,633,725,830,890,923,765,891,959,1085,1149
420,530,475,646,586,456,554,508,605,649,340,663,607,718,777,383,431,516,474,563,343,543,602,656,715
567,675,624,832,725,511,637,578,698,761,440,765,702,825,880,406,459,557,507,623,422,734,785,833,880
756,853,810,943,896,421,543,489,591,650,362,672,616,768,885,455,517,622,569,675,692,858,1028,1095,1160
395,488,445,578,530,460,581,524,638,698,499,601,560,644,714,263,497,613,558,675,436,496,565,629,692
553,681,621,799,742,652,1428,1269,1035,774,510,632,574,689,753,540,622,700,775,857,394,444,488,543,590
1150,1270,1218,1385,1327,504,603,556,650,708,639,741,835,929,1018,1063,1149,1231,1323,1397,1709,1785,1850,1909,1965
485,589,539,693,638,561,678,625,784,729,338,660,600,718,770,540,627,706,783,861,450,508,565,623,682
430,545,489,665,606,476,571,526,622,667,481,593,540,648,703,581,670,757,840,925,941,1015,1074,1125,1176
445,571,512,723,663,3407,4027,3878,3723,3570,441,709,652,769,836,448,508,618,564,680,525,585,638,687,739
267,525,467,649,581,531,741,633,845,947,368,634,579,683,744,443,499,599,550,655,535,593,639,684,733
724,1042,966,891,810,457,548,504,590,637,458,556,512,597,644,564,634,768,708,823,454,913,972,1174,1230
583,708,654,821,761,627,996,905,832,735,406,734,669,830,934,439,493,593,544,649,487,551,607,666,727
255,489,446,599,541,496,676,583,755,848,509,619,562,675,738,330,580,688,638,743,593,654,716,774,835
1119,1225,1174,1324,1275,498,593,549,636,688,766,861,949,1035,1199,399,455,548,502,598,857,917,969,1019,1084
448,549,501,664,604,505,625,565,679,740,366,769,711,822,876,519,731,928,835,1020,404,766,838,896,951
565,655,612,745,698,764,1478,1387,1288,958,426,812,718,897,954,238,470,576,524,632,408,497,582,650,704
454,664,603,726,548,523,631,580,686,751,492,846,760,917,1004,231,379,484,433,522,412,487,527,565,653
968,1080,1027,1195,1131,523,650,591,709,835,641,723,798,895,969,441,505,620,563,683,559,621,689,747,805
767,1032,971,902,835,408,503,459,548,602,513,577,684,736,930,403,468,617,523,701,912,983,1047,1104,1155
542,652,600,757,699,530,810,745,935,870,433,711,566,772,846,229,435,538,488,593,527,595,654,712,773
433,557,499,678,616,676,1379,1287,1071,809,340,626,572,672,728,388,438,550,495,610,482,536,581,625,676
431,544,493,643,599,527,652,593,709,775,337,650,590,710,760,525,587,741,688,803,304,636,702,754,816
455,664,610,715,554,471,596,536,664,714,488,599,547,650,703,220,435,529,487,571,214,394,437,479,527
369,580,432,624,528,697,821,767,878,932,320,663,597,719,782,343,379,441,411,476,349,619,677,730,788
437,747,589,691,639,439,555,501,604,665,453,561,509,594,643,375,434,535,485,590,508,566,614,672,737
653,1064,988,910,826,649,762,710,834,912,499,602,554,837,1022,421,482,584,536,632,611,718,825,931,999
1169,1345,1233,1463,1405,564,723,651,774,832,638,735,856,950,1041,486,554,678,616,746,1116,1179,1233,1285,1336
410,475,444,538,504,473,651,592,534,710,443,540,500,591,653,349,404,546,455,602,364,572,467,629,691
477,575,531,680,625,349,746,553,855,607,486,575,524,630,686,477,533,633,585,687,396,436,474,579,642
417,522,474,625,571,263,553,494,616,674,428,522,478,573,617,240,486,592,540,649,491,540,591,648,696
805,908,862,997,953,252,543,489,587,637,449,610,512,784,873,480,544,639,592,696,400,746,813,870,936
419,540,479,659,599,522,711,637,767,823,440,558,507,617,671,462,523,629,574,674,1257,1338,1398,1454,1507
349,500,467,577,530,307,557,511,602,652,462,603,519,656,719,242,429,519,478,572,465,522,577,632,693
416,588,555,653,619,388,484,436,537,588,485,633,584,669,699,245,482,589,537,660,392,452,502,555,616
377,499,443,619,560,441,572,510,630,686,412,507,462,553,606,420,469,560,515,610,506,557,603,656,714
1271,1360,1318,1441,1401,257,632,520,741,848,981,1072,1268,1315,1357,928,980,1065,1023,1106,1558,1616,1662,1704,1756
1546,1669,1611,1785,1727,589,827,776,877,709,571,728,810,889,969,362,426,536,481,598,1099,1143,1192,1245,1289
547,661,604,776,716,413,541,450,506,573,588,698,644,749,805,228,383,447,416,481,453,505,560,619,685
544,653,601,783,716,522,647,583,714,779,469,670,527,726,819,469,528,633,585,694,295,580,636,691,750
588,700,647,808,751,424,517,472,564,614,501,607,559,656,713,270,514,625,570,683,515,560,612,662,720
503,605,565,690,645,651,1103,1004,909,780,528,650,603,693,740,559,617,730,674,793,735,807,871,931,997
430,773,481,951,891,715,1096,1003,910,816,699,826,920,1012,1100,613,680,792,740,839,599,658,715,770,831
433,501,470,566,531,364,651,600,703,544,461,551,508,593,640,208,417,528,473,587,464,523,581,638,691
628,732,677,814,773,476,585,532,638,673,472,538,509,567,601,409,461,560,510,613,554,608,654,698,749
437,541,494,651,598,248,523,467,578,632,439,654,606,699,749,350,400,532,445,584,407,459,504,548,600
455,865,796,989,932,717,1314,1240,1163,881,683,807,934,1025,1112,550,615,733,674,794,532,713,772,832,881
542,663,605,783,723,964,1111,1047,1159,1209,432,561,498,623,691,381,417,477,448,512,284,965,1041,1100,1157
540,645,593,748,695,442,612,489,545,576,477,567,524,609,658,356,409,597,548,655,257,534,592,658,717
530,636,580,736,681,558,692,627,756,832,449,546,502,591,642,277,475,539,509,574,485,549,602,654,724
473,586,528,710,646,290,618,565,672,737,415,593,467,639,689,237,444,546,496,600,316,352,385,416,463
445,553,499,658,605,390,512,453,563,620,593,816,656,875,932,285,506,605,555,661,851,918,980,1037,1098
738,863,808,987,926,418,527,476,590,653,900,1030,968,1089,1147,755,840,970,904,1033,321,689,756,568,818
