Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
2140,11847,12017,12180,12367,13832,14020,14214,14370,14530
1432,3039,3196,3352,3496,4495,4641,4801,5017,5259
1691,12015,12186,12356,12522,12728,12896,22748,22938,23092
1663,3349,3500,3641,3791,3933,4076,13128,13271,13415
2214,14533,14758,14953,15143,15332,15576,15847,16113,16372
3997,6328,6529,6742,6943,7135,7356,7539,7674,7798
2592,11686,11782,11076,11183,12053,12152,12239,12334,12444
702,2422,2493,1750,1835,2554,2613,2673,2780,2841
746,11035,11137,11232,11323,11413,11504,11595,11687,11776
851,1771,1834,1897,1960,2009,2064,2115,2167,2215
993,10755,10796,10846,10895,10944,11023,11073,11124,11186
437,1144,1189,1265,1339,1410,1479,1522,1589,1646
887,10767,10814,10856,10901,10947,10995,11043,11438,11482
602,1062,1101,1140,1177,1213,1250,1289,1421,1457
635,10633,10684,10741,10795,10847,11251,11301,11385,11441
492,928,976,1022,1067,1110,1412,1454,1494,1535
535,11463,11531,11601,11668,11743,11825,11903,11977,12050
1280,2030,2078,2125,2171,2216,2261,2309,2354,2401
607,10784,10834,10885,10941,10988,11034,11482,11529,11586
622,1111,1158,1213,1265,1311,1352,1539,1566,1592
535,10842,10888,10934,10979,11024,11069,11113,11493,11526
656,1109,1150,1190,1230,1279,1307,1333,1431,1458
482,10819,10877,10938,11000,11060,11125,11581,11625,11671
653,1214,1267,1319,1362,1405,1446,1765,1818,1874
427,10604,10636,10688,10743,10800,10856,11219,11276,11330
468,822,881,927,974,1023,1074,1304,1346,1387
628,11028,11093,10709,10771,11258,11319,11374,11427,11480
532,1439,1486,1050,1103,1533,1579,1624,1671,1717
607,10851,10900,10953,11007,11050,11106,11470,11525,11581
685,1099,1142,1188,1235,1281,1328,1549,1595,1642
638,10699,10732,10767,10810,10852,10890,10941,10991,11041
418,1004,1051,1094,1143,1189,1235,1281,1326,1371
544,10584,10612,10644,10678,10914,10945,10975,11005,11035
401,665,693,719,745,928,954,980,1005,1031
654,10973,10737,10772,10812,11156,11202,11252,11302,11351
517,1247,866,911,956,1294,1337,1381,1426,1470
984,11671,11572,11468,11364,11767,11850,11931,12021,12180
1138,2136,2183,1979,2028,2227,2273,2315,2356,2396
407,10572,10613,10658,10704,11074,11120,11165,11208,11253
429,830,870,908,945,1214,1253,1290,1328,1367
380,10975,11035,10692,10740,11202,11261,11320,11367,11424
535,1396,1434,1003,1055,1481,1527,1576,1625,1673
574,10593,10634,10685,10737,10787,11225,11273,11323,11373
445,895,945,989,1035,1078,1329,1377,1421,1466
426,11028,10696,10738,10789,11214,11262,11312,11362,11411
470,1309,924,970,1014,1355,1399,1441,1485,1529
609,10874,10935,11003,11075,11149,11212,11283,11350,11410
433,1373,1432,1488,1534,1582,1628,1676,1725,1770
551,10684,10721,10764,10801,10836,10893,11344,11406,11466
547,951,999,1050,1102,1152,1203,1448,1500,1552
365,11095,11168,11236,10805,11361,11423,11487,11548,11613
627,1592,1648,1703,1213,1758,1813,1867,1925,1994
1011,10985,11024,10756,10797,11130,11168,11205,11243,11281
513,1190,1223,928,963,1255,1287,1319,1351,1383
605,10856,10904,10970,11033,11100,11162,11229,11295,11354
391,1252,1308,1368,1425,1494,1551,1610,1669,1727
724,11205,11286,11377,10891,11538,11625,11702,11777,11850
677,1814,1886,1949,1342,2012,2076,2140,2201,2262
785,10990,11068,11153,11233,11305,11374,11443,12054,12126
812,1519,1581,1643,1699,1767,1830,1891,2108,2172
505,11004,11092,11165,11235,11305,11887,11950,12016,12081
806,1468,1534,1599,1661,1725,2304,2371,2437,2501
756,10973,11033,11092,11150,11208,11266,11326,11851,11910
780,1368,1421,1473,1525,1576,1627,1678,1859,1911
705,11032,11127,11217,11300,11381,12019,12090,12161,12229
803,1556,1629,1701,1768,1836,2404,2477,2548,2619
1152,10969,11050,11127,11198,11287,11862,11932,12007,12086
750,1470,1546,1604,1642,1679,2038,2095,2151,2206
658,10894,10966,11047,11123,11203,11814,11879,11943,12006
695,1379,1443,1506,1572,1639,2156,2224,2285,2348
728,11027,11125,11196,11263,11340,11417,12060,12137,12213
796,1562,1628,1698,1757,1821,1883,2188,2253,2319
517,10929,11008,11082,11150,11233,11958,12042,12132,12217
732,1493,1570,1640,1712,1784,2219,2291,2361,2433
790,10939,11001,11062,11121,11180,11239,11298,11824,11884
741,1332,1385,1437,1488,1539,1591,1643,1824,1875
837,11073,11155,11228,11299,11370,11440,12111,12199,12276
882,1582,1653,1727,1799,1867,1937,2261,2329,2397
773,10971,11044,11115,11195,11261,11323,11401,12028,12098
801,1501,1561,1618,1675,1732,1791,1863,2078,2149
878,10932,11005,11079,11155,11800,11876,11953,12029,12104
739,1432,1498,1562,1624,2084,2155,2227,2300,2380
1179,10861,10900,10945,10989,11031,11074,11375,11418,11460
684,1038,1075,1110,1146,1181,1217,1387,1423,1459
680,11130,11188,10775,10842,11379,11447,11519,11592,11679
597,1689,1760,1156,1219,1842,1909,1966,2023,2079
1219,11556,11636,11708,11792,11862,11932,12003,12073,12142
2446,2534,2606,2676,2747,2816,2885,2955,3024,3093
1147,11617,11702,11778,11860,11939,12022,12106,12187,12260
1413,2230,2285,2340,2396,2453,2508,2563,2619,2674
864,11123,11180,11227,11275,11322,11366,11411,11457,11503
2884,2946,2993,3040,3087,3132,3179,3226,3301,3379
935,10899,10956,11008,11061,11112,11161,11208,11648,11696
728,1243,1290,1334,1378,1420,1463,1506,1651,1693
670,10930,11045,11121,11201,11293,11368,11440,11498,12023
690,1487,1540,1592,1643,1694,1743,1793,1844,1966
585,11008,11057,10702,10755,11198,11254,11329,11377,11422
461,1372,1411,1001,1048,1461,1515,1564,1604,1649
854,11092,11141,11185,11227,11267,11309,11350,11389,11429
1593,1646,1687,1727,1767,1807,1848,1887,1929,1970
477,11007,11062,11108,11177,11229,11277,11345,11415,11505
766,1434,1461,1525,1552,1578,1641,1668,1694,1721
