Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4
416,555,469,678,621,610,671,709,742,780,764,577,516,816,866,496,560,615,673,727,267,499,792,724,556,260,528,469,682,599,464,512,571,689,628,478,713,655,602,545,642,495,548,691,748,312,509,566,626,698
565,728,646,880,804,647,715,775,840,906,13906,581,509,14077,14132,618,685,754,815,871,440,501,651,598,550,458,603,522,724,663,10453,547,628,745,690,697,965,890,818,755,10513,517,591,649,707,297,556,646,736,845
480,615,553,744,676,532,596,655,720,776,4099,3928,3873,4149,4197,559,624,695,760,815,463,522,693,633,576,757,866,815,973,917,550,394,450,599,665,508,767,700,639,577,605,459,510,651,718,252,482,543,597,654
579,712,653,833,776,800,867,931,992,1052,10555,1525,1449,10704,10751,503,582,639,692,746,483,542,712,648,594,280,580,528,701,641,10534,449,512,619,685,249,623,560,507,458,10619,718,783,902,969,473,534,601,660,724
631,774,705,913,843,576,645,715,788,854,723,567,519,775,820,432,497,560,617,679,277,480,631,578,530,451,569,511,680,620,651,491,540,697,594,463,703,640,582,525,752,585,650,700,800,256,485,549,603,659
533,1032,961,1167,1109,924,1126,1180,1236,1059,10485,465,410,10606,10666,930,1010,1069,1135,1203,518,588,787,717,653,434,572,500,706,638,10558,379,433,536,481,2534,2832,2755,2683,2612,10584,361,411,460,514,331,398,559,638,706
469,945,872,1067,1012,1472,1540,1603,1662,1728,792,933,865,998,1051,762,1212,1126,1035,900,424,488,667,601,543,465,587,528,707,645,731,539,600,782,664,569,660,910,828,745,741,565,622,678,788,458,528,587,640,699
460,596,531,727,663,644,709,772,833,899,10507,517,458,10613,10646,517,588,654,709,772,407,464,657,584,521,418,528,475,638,580,10450,432,496,618,558,286,630,577,531,481,10501,525,586,642,703,373,436,483,535,601
438,550,498,651,604,648,712,769,826,887,591,488,454,620,648,515,570,623,670,716,479,551,758,686,620,324,396,362,483,429,567,415,466,612,518,399,642,695,584,455,599,446,489,542,648,427,490,544,615,685
530,681,612,818,753,507,770,836,902,962,10599,464,406,10785,10846,496,571,653,719,800,457,528,728,657,593,378,498,439,597,643,10462,352,412,535,472,387,588,534,487,440,10478,446,507,562,623,433,496,555,614,680
517,645,580,756,707,615,672,722,790,858,816,626,569,869,912,516,590,662,737,804,268,538,715,657,596,420,534,478,648,588,595,432,486,644,539,407,612,554,507,459,612,445,495,546,663,228,448,510,565,623
609,734,671,855,801,633,862,727,783,925,10508,456,399,10680,10733,451,515,577,699,761,265,478,655,590,531,416,531,475,771,578,10407,466,530,666,597,414,641,579,527,474,10581,435,501,553,611,469,526,575,622,676
586,728,664,855,797,537,615,672,742,792,697,534,479,743,788,417,519,593,659,736,468,533,739,666,600,479,620,551,756,689,462,359,393,492,426,493,765,690,623,561,730,534,600,661,788,317,356,391,426,465
1005,1126,1066,1238,1182,741,808,857,907,955,10491,745,673,10679,10744,1009,1068,1131,1188,1250,457,521,708,643,584,442,576,510,705,641,10495,628,727,819,925,457,692,631,576,522,10463,466,535,598,668,603,687,759,820,885
