Client_0,Client_1,Client_2,Client_3,Client_4
827,1168,1119,1016,1065
10651,10868,10690,10748,10779
681,824,708,766,794
10600,10698,10653,10746,10790
724,805,767,845,884
10696,10814,10762,10870,10914
869,945,906,983,1021
10632,10726,10682,10771,10815
771,851,811,890,927
10676,10783,10737,10826,10871
810,885,848,920,956
10958,11118,11041,11204,11280
1269,1340,1315,1363,1390
10527,10832,10572,10657,10694
617,849,662,747,792
10947,11086,11021,11151,11220
1199,1278,1242,1314,1350
10941,11092,11019,11155,11228
1205,1291,1249,1334,1376
10823,10952,10891,11011,11071
1006,1085,1046,1123,1162
10630,10725,10680,10770,10813
723,801,762,838,876
10530,10643,10589,10692,10739
695,783,732,823,861
10620,10822,10657,10710,10740
633,765,658,712,737
10686,10765,10731,10806,10850
789,863,819,901,939
10803,10933,10872,10995,11055
1024,1103,1065,1143,1182
10840,10976,10910,11039,11101
1067,1143,1105,1179,1216
10636,10854,10674,10737,10767
703,844,729,787,814
10920,10989,10958,11019,11048
980,1030,1006,1055,1079
10619,10913,10871,10739,10784
698,940,903,822,862
10637,10752,10698,10804,10857
802,886,845,927,968
10584,10840,10797,10885,10710
622,859,834,900,804
10631,10934,10675,10755,10790
711,946,755,854,898
10557,10656,10611,10699,10742
690,765,727,806,855
10608,10929,10655,10724,10777
671,915,719,818,866
10662,10788,10729,10847,10924
858,964,912,1013,1066
10598,11034,10970,10765,10836
822,1154,1104,1001,1051
10624,10889,10805,10965,11037
644,1054,1010,1096,1137
10760,10915,10837,10993,11065
1029,1131,1080,1181,1230
11138,11459,11382,11534,11608
1580,1667,1625,1708,1750
10514,10848,10795,10633,10689
656,903,878,814,848
10943,11082,11015,11145,11208
1186,1265,1228,1301,1338
10617,10813,10653,10705,10734
615,745,639,691,717
10744,10873,10816,10927,10979
892,980,936,1024,1061
10863,11000,10934,11065,11130
1087,1157,1123,1191,1225
10593,10694,10645,10750,10804
726,815,770,858,901
10895,10998,10950,11044,11091
1167,1263,1218,1307,1350
10616,10821,10652,10708,10738
618,752,644,698,724
10652,10962,10705,10771,10819
728,958,772,866,908
10452,10776,10721,10560,10616
587,882,838,741,788
10549,10674,10618,10727,10781
747,826,787,863,901
10612,10808,10646,10699,10728
603,730,627,680,704
10586,10668,10630,10707,10756
721,806,765,854,893
10658,10782,10718,10826,10883
835,928,883,970,1011
10548,10637,10603,10671,10701
647,698,673,732,767
11060,11494,11389,11285,11178
