Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4
515,577,633,689,753,412,615,687,795,738,470,584,527,637,694,309,519,588,669,736,546,610,669,736,804
527,580,638,692,755,460,709,805,878,981,478,608,548,667,733,596,649,696,743,795,768,824,873,919,965
859,909,955,998,1049,441,614,671,557,725,342,693,627,761,833,366,580,615,648,683,533,679,743,797,861
520,557,589,620,655,334,568,628,682,737,714,815,769,866,923,303,511,559,606,663,478,537,593,648,712
608,658,707,760,820,406,601,664,791,722,642,770,708,828,889,653,725,786,845,912,312,348,381,415,445
564,628,679,733,797,396,457,515,573,629,566,691,633,741,798,390,447,501,551,606,433,493,549,606,672
740,842,940,1030,1116,576,641,699,757,820,1248,1390,1328,1446,1501,453,493,553,609,661,724,795,843,895,954
610,675,731,776,838,449,512,565,620,686,577,698,642,754,817,297,574,640,704,771,580,640,697,754,816
442,493,543,592,652,530,590,645,704,759,560,685,632,731,781,225,437,490,541,597,468,521,565,619,676
521,560,593,631,663,351,388,421,452,489,610,741,650,706,771,288,493,545,596,651,390,426,463,497,527
563,623,681,733,792,480,531,578,632,697,450,553,505,604,668,454,516,571,622,686,484,551,612,665,721
1189,1250,1301,1354,1404,427,479,528,576,670,769,1104,1025,947,867,786,853,914,972,1037,515,590,650,709,776
1203,1283,1342,1398,1451,505,557,604,650,700,616,1084,990,897,803,426,481,534,583,635,451,501,549,595,648
259,504,560,613,682,612,677,731,790,859,374,720,658,781,839,386,437,483,528,587,492,553,617,681,744
621,688,748,810,881,280,484,536,585,640,685,813,751,874,944,310,348,380,411,446,493,558,621,689,752
463,530,587,647,712,454,505,554,600,653,426,693,624,823,759,410,463,509,554,604,495,567,621,685,746
495,550,602,648,703,446,500,553,605,894,565,674,620,726,779,529,586,633,684,739,471,543,603,657,715
616,680,741,816,878,460,512,562,607,652,570,694,635,750,821,402,457,508,558,619,264,492,552,607,674
465,516,572,630,702,374,530,592,704,648,589,712,657,764,820,481,537,585,632,686,481,546,606,673,746
569,626,681,733,789,411,612,507,558,679,535,669,606,739,806,262,483,540,595,657,427,482,534,587,631
660,732,794,855,924,475,536,595,655,717,942,1123,1044,1201,1277,473,543,602,658,725,689,746,797,847,895
455,492,523,585,624,855,920,978,1034,1090,433,661,609,765,712,798,861,919,977,1041,401,444,484,535,593
419,474,527,618,671,269,570,619,673,736,595,719,663,775,828,422,483,534,592,654,308,522,578,635,698
480,537,593,648,704,503,562,614,663,713,382,672,618,732,791,458,522,579,638,699,429,490,608,684,756
555,620,654,686,720,769,824,872,919,966,563,672,619,730,780,833,913,990,1065,1140,361,399,432,492,601
474,653,708,763,816,767,820,868,916,966,533,644,593,695,751,848,933,1013,1092,1170,197,357,392,425,460
880,942,1001,1058,1115,314,350,386,417,447,544,782,725,829,887,331,368,400,431,466,475,543,605,667,733
492,556,626,695,763,335,530,583,699,638,848,955,902,1006,1056,476,537,598,652,710,681,764,830,896,969
493,708,763,821,876,463,534,609,706,769,527,653,593,709,771,359,540,598,650,709,437,488,545,612,697
586,649,707,763,824,482,542,601,659,727,522,643,582,701,758,429,498,660,728,786,455,505,591,635,1045
474,539,598,665,735,424,914,982,1044,1100,601,733,670,803,871,623,852,921,980,1044,417,470,517,571,626
480,628,684,734,789,281,537,605,672,739,406,530,471,588,655,372,426,480,533,588,242,453,509,565,617
607,673,737,801,854,373,623,462,516,567,734,855,795,911,966,414,468,519,569,624,344,581,619,656,688
446,628,691,745,798,396,475,535,590,657,575,689,633,750,805,286,508,556,602,652,422,481,530,583,652
479,532,592,649,705,467,531,589,656,730,443,562,504,627,694,380,434,565,616,687,425,474,517,560,609
626,698,782,861,929,376,455,515,565,622,474,602,541,662,728,341,379,410,441,476,789,1001,915,1115,1196
476,528,649,695,745,1100,1214,1270,1323,1377,594,725,659,785,845,716,842,959,1045,1139,475,540,597,654,711
544,599,646,697,790,667,810,986,868,926,667,782,724,836,891,518,582,642,681,717,427,478,523,568,617
814,886,947,1006,1067,393,507,555,600,665,695,856,771,913,970,494,562,619,673,730,651,886,766,987,1081
437,500,556,613,676,569,952,847,762,663,491,599,549,651,703,1054,1146,1235,1331,1419,509,583,648,714,776
487,555,612,672,734,481,547,603,654,712,611,735,673,907,976,547,617,733,796,862,597,660,713,1047,1179
575,636,693,736,787,367,428,481,537,599,313,553,507,597,645,214,422,470,515,566,459,520,570,615,666
585,650,708,772,839,443,504,559,616,672,471,592,531,650,717,429,479,524,569,619,482,588,666,723,782
879,944,1000,1049,1097,430,489,540,590,649,502,610,559,660,972,407,466,520,566,619,318,531,588,639,687
479,550,612,671,744,581,954,853,750,670,604,734,673,801,964,941,1002,1063,1125,1192,632,849,732,943,1035
811,912,995,1080,1171,1391,1723,1644,1564,1482,703,911,813,1103,997,1860,1952,2035,2117,2198,265,418,470,524,585
651,710,766,824,873,415,478,537,595,662,508,765,714,658,819,381,443,597,651,709,407,463,517,565,677
639,706,769,831,907,452,508,558,611,666,593,726,665,786,852,404,458,509,559,615,400,455,504,551,608
1330,1399,1459,1518,1578,1816,2190,2099,2004,1911,1011,1140,1080,1199,1256,1938,2040,2135,2229,2324,727,790,852,912,976
572,630,689,747,810,424,486,540,590,648,459,574,517,633,696,504,562,615,666,723,436,491,548,596,664
1598,1840,2057,2293,2532,637,1051,941,998,870,2075,2560,2307,2784,3056,935,1001,1070,1133,1197,2096,2378,2612,2872,3092
1282,1557,1816,2105,2416,270,541,602,651,711,4269,4710,4484,4907,5135,362,415,467,519,574,4070,4274,4456,4625,4824
1520,1698,1896,2075,2230,668,725,784,840,893,1868,2496,2299,2659,2832,424,471,513,554,600,2814,3053,3269,3475,3686
4944,5154,5344,5530,5752,422,477,538,588,646,4001,4347,4182,4515,4698,242,505,649,705,757,6741,6965,7174,7372,8843
6509,6679,6825,6968,7091,1119,1180,1237,1284,1328,6275,6591,6441,6740,6910,1056,1115,1170,1224,1284,3971,5828,4746,6057,6297
4872,4994,5102,5414,5543,393,440,473,514,557,1573,2911,2789,3026,3135,389,439,491,540,596,3095,4333,4145,4447,4537
789,1293,1420,1510,1605,315,475,506,437,537,856,1073,965,1165,1306,385,434,480,525,576,589,999,1086,1184,1427
839,932,1165,1243,1320,378,439,497,545,598,704,883,795,975,1067,386,442,502,554,609,552,628,714,795,887
8887,8949,9000,9050,9099,582,648,705,767,836,11907,15863,14985,16161,16511,627,694,755,816,884,914,1099,1009,1187,1272
4548,4876,5102,5444,5658,444,510,575,641,728,6625,7095,6890,7289,7384,469,533,587,637,687,6460,6698,6570,6804,6892
764,892,1000,1100,1226,2519,3592,3001,3211,3398,1024,1132,1082,1187,1239,1988,2235,2422,2634,2785,2370,2517,2428,2563,2619
3763,3862,3952,4059,4162,2089,2301,2491,2810,3171,799,931,864,992,1068,5215,5413,5584,5751,6082,3447,3501,3554,3599,3649
322,578,657,723,793,1987,2412,2886,3089,2184,698,794,751,2725,2830,4627,4846,5046,5251,5437,523,587,649,708,777
858,942,1005,1059,1128,6267,6469,6644,6803,6970,4119,4371,4267,4460,4541,8895,9101,9290,9473,9929,674,860,773,950,1039
818,889,950,1017,1072,6657,8167,7947,7726,7500,460,796,715,882,956,8198,8347,8500,8641,8779,652,732,797,849,910
1234,1348,1419,1478,1535,4125,4647,4762,4486,4310,1086,1353,1291,1161,1223,4273,4410,4530,4637,4734,843,1103,1037,1152,1198
723,1219,1386,1485,1576,569,1132,1300,1422,1542,1888,2286,2196,2108,2020,887,1014,1143,1243,1342,2143,2343,2245,2437,2530
716,1240,1361,1432,1500,677,772,857,959,1046,1521,1650,1593,1705,1760,733,819,893,958,1035,1406,1469,1526,1578,1629
